Title,Country,Publication_Year,Long_Lat,Level_1 ,Level_1_Interaction,Level_2,Level_2_Interaction,Study_Treatment,Soil_Depth_Increment,MAP,MAT,Mean_annual_evapotranspiration,Mean_annual_precipitation,Mean_annual_temperature,Elevation,Plot_sample_size,Sample_number,Plot_size,Study_start_t0,Study_end_tx,Study_duration,Indicators included,Soil_Depth_Increment,MAP,MAT,Mean_annual_evapotranspiration,Mean_annual_precipitation ,Mean_annual_temperature,Elevation ,Plot_sample_size,Sample_number,Plot_size ,Study_start_t0,Study_end_tx,Study_duration ,Indicators included,OC_t0,OC_t0_SD,OC_tx,OC_tx_SD,OM_t0,OM_t0_SD,OM_tx,OM_tx_SD,BD_t0,BD_t0_SD,BD_tx,BD_tx_SD,SOC_stock_t0,SOC_stock_t0_SD,SOC_stock_tx,SOC_stock_tx_SD,SOC_stock_absDelta,SOC_stock_percDelta,SOC_abs_delta_annualized,OC_absDelta,OC_percDelta,OM_absDelta,OM_percDelta,Dominant_Veg,Soil_Texture,Sand,Animal_Category,Animal_Size_Class,Animal_type,Study_quality,Reviewer,Comment ,Comment_2,Outlier
Metadata,,Year the paper was published,"(decimal degrees)
Central coordinate of the study in long THEN lat. ","Level 1 treatment category.  For papers studying interactions, list all level 1 treatments, separated by a comma. 
Treatment options: Grazing Management, Fire Management, Restoration",Y~X,"Level 2 treatment category. For papers studying interactions, list all level 2 treatments, separated by a comma. 
Treatment options: Planned Grazing, Grazing Intensity, Controlled Fire, Invasive Species Removal, Encroached Species Removal, Exclosures, Natural Regeneration, Re-seeding, Re-planting, Soil/Water Retention, Rewilding",Y~X,"The specific name of the control and treatment(s) in the paper. If the name is not intuitive, such as just a number, add an intuitive phrase (ex: ""1_lowstocking"" or ""rgSu_rotationalgrazingSummer"") so that we know the management activity later in analysis.","(cm)
 Depth increment of the soil measurement, e.g. 0-15, 15-30","(mm)
 Mean annual precipitation reported in the paper.","(deg. C)
 Mean annual temperature reported in the paper.","(mm)
 Mean annual evapotranspiration","(mm)
 To be pulled from WorldClim data using coordinates.","(deg. C)
 To be pulled from WorldClim data using coordinates.","(m)
 Mean elevation of the study area",Number of plots,Number of samples/plot,(m2),"(month/year)
 If no month available, put January?
 This is t0.","(month/year)
 If no month available, put January?
 This is tx.","(months)
 tx - t0
 Or, treatment duration if no t0 samples taken and land use practices have been in place a long time.","Soil-specific indicators measured (other than SOC), e.g., chemical / biological / physical characteristics","(cm)
Depth increment of the soil measurement, e.g. 0-15, 15-30","(mm)
Mean annual precipitation reported in the paper.","(deg. C)
Mean annual temperature reported in the paper.","(mm)
Mean annual evapotranspiration","(mm)
To be pulled from WorldClim data using coordinates.","(deg. C)
To be pulled from WorldClim data using coordinates.","(m)
Mean elevation of the study area",Number of plots,Number of samples/plot ,(m2),"(month/year)
If no month available, put January?
This is t0.","(month/year)
If no month available, put January?
This is tx.","(months)
tx - t0
Or, treatment duration if no t0 samples taken and land use practices have been in place a long time.","Soil-specific indicators measured (other than SOC), e.g., chemical / biological / physical characteristics","(g/kg)
Starting organic carbon content for the depth increment, if reported.","(g/kg)
Standard deviation of the starting organic carbon content, if reported.","(g/kg)
Final organic carbon content for the depth increment, if reported.","(g/kg)
Standard deviation of the final organic carbon content, if reported.","(g/kg)
Starting organic matter content for the depth increment, if reported.","(g/kg)
Standard deviation of the starting organic matter content, if reported.","(g/kg)
Final organic matter content for the depth increment, if reported.","(g/kg)
Standard deviation of the final organic matter content, if reported.","(g/cm3)
Starting bulk density for the depth increment, if reported.","(g/cm3)
Standard deviation of the starting bulk density for the depth increment, if reported.","(g/cm3)
Final bulk density for the depth increment, if reported.","(g/cm3)
Standard deviation of the final bulk density for the depth increment, if reported.","(tC/ha)
Starting SOC stock for the depth increment, if reported.","(tC/ha)
Standard deviation of the starting SOC stock for the depth increment, if reported.","(tC/ha)
Final SOC stock for the depth increment, if reported.","(tC/ha)
Standard deviation of the final SOC stock for the depth increment, if reported.","(tC/ha)
Difference between final and starting SOC stock for the depth increment, if reported (tx-t0). This is ultimately what we are trying to calculate.","(%)
Percent change in SOC stocks from t0 to tx. To be calculated later if not provided.",tC/ha)        SOC_stock_absDelta divided by study duration,"(g/Kg)
Difference between final and starting OC for the depth increment, if reported (tx-t0). This is ultimately what we are trying to calculate.","(%)
Percent change in OC from t0 to tx. To be calculated later if not provided.","(tC/ha)
Difference between final and starting OM for the depth increment, if reported (tx-t0). This is ultimately what we are trying to calculate.","(%)
Percent change in OM from t0 to tx. To be calculated later if not provided.","Dominant vegetation in the study area. 
Options include: C3, C4, Mixed, Woody/Shrubby","Soil texture as reported by the paper, ideally one of the standard 12 soil texture classes in the World Reference Base: sand, loamy sand, silt, silt loam, sandy loam, loam, sandy clay loam, silty clay loam, clay loam, sandy clay, silty clay, and clay (page 182)","(%)
Soil sand content ((or 100 - (silt + clay content %))","(1, 2, 3)
1 = domestic
2 = wildlife
3= both","(1, 2, 3)
1 = Large (>100 kg / animal)
2 = Small (<100 kg / animal)
3 = Both","Livestock type(s) managed by the treatment activity. 
Options include: Cattle, Sheep, Goat, Donkey, Other Domestic; Elephant, Zebra, Wildebeest, Gazelle, Other Wildlife","(good or bad)
Good = no concerns or iffy feelings about the quality of the study design, data collection, or information reported.
Bad = raises a flag that the reader has concerns about one or more elements of the study design (methods, measurements, analysis).",Reviewer first name,,,
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Control,,Control: Open grazing (continuous extensive),0-20,900,,,,,1400,6,3,,,,180,,0-20,900,,,,,1400,6.00,3,,,,180,,,,5.3,,,,,,,,1.17,,,,12.4,,,,,,,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Control,,Control: Open grazing (continuous extensive),20-40,900,,,,,1400,6,3,,,,180,,20-40,900,,,,,1400,6.00,3,,,,180,,,,5.5,,,,,,,,1.78,,,,19.45,,,,,,,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Control,,Control: Open grazing (continuous extensive),40-60,900,,,,,1400,6,3,,,,180,,40-60,900,,,,,1400,6.00,3,,,,180,,,,5.7,,,,,,,,1.44,,,,15.84,,,,,,,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Control,,Control: Open grazing (continuous extensive),60-80,900,,,,,1400,6,3,,,,180,,60-80,900,,,,,1400,6.00,3,,,,180,,,,5.7,,,,,,,,0.96,,,,10.17,,,,,,,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Control,,Control: Open grazing (continuous extensive),80-100,900,,,,,1400,6,3,,,,180,,80-100,900,,,,,1400,6.00,3,,,,180,,,,5.1,,,,,,,,1.35,,,,13.68,,,,,,,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (1-5 years),0-20,900,,,,,1400,6,3,,,,36,,0-20,900,,,,,1400,6.00,3,,,,36,,,,7.3,,,,,,,,1.16,,,,16.6,,4.2,33.87096774,,2,37.73584906,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (1-5 years),20-40,900,,,,,1400,6,3,,,,36,,20-40,900,,,,,1400,6.00,3,,,,36,,,,7.2,,,,,,,,1.29,,,,18.24,,-1.21,-6.221079692,,1.7,30.90909091,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (1-5 years),40-60,900,,,,,1400,6,3,,,,36,,40-60,900,,,,,1400,6.00,3,,,,36,,,,7.9,,,,,,,,1.26,,,,20.11,,4.27,26.95707071,,2.2,38.59649123,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
"Carbon sequestration in the pastoral area of Chepareria, western Kenya",Kenya,2014,"35.2, 1.316667",Grazing management,,Improved grazing methods,,Treatment: Rotational grazing (1-5 years),60-80,900,,,,,1400,6,3,,,,36,,60-80,900,,,,,1400,6.00,3,,,,36,,,,6.5,,,,,,,,1.43,,,,18.03,,7.86,77.28613569,,0.8,14.03508772,,,,,,1,,,,Jaclyn,Mean treatment values by depth inferred from graphs. SOC stock values are close but not exactly matching stocks calculated from inferred BD and OC. Treatment duration is average of range provided or smallest value when range was provided as >X.,,0
