id,plotid,site,cluster,plot,longitude,latitude,predsoc_stock_20cm,predsoc_stock_30cm,isda SOC stock 20cm,iSDA stock uncertainty,soilGrids SOC stock 30cm,soilGrids uncertainty,OLM 2017 SOC stock 30cm,SA SOC stock 30cm,ADMIN,LDSF_quantity_SOCstock,quartiles,Vegetation,GPW
1,chasimba_11_3_2019,chasimba,11,3,39.6984,-3.74465,16.91335853,38.05505669,21.18603564,8.15082134,37,29,50,,Kenya,Low,Q1,grassland,Other
2,chasimba_11_6_2019,chasimba,11,6,39.6904,-3.74493,12.05058781,27.11382257,24.94822721,9.484377,41,22,40,,Kenya,Low,Q1,wooded_grassland,Other
3,chasimba_14_10_2019,chasimba,14,10,39.7186,-3.76354,16.96030402,38.16068405,22.63053807,4.24053976,32,25,50,,Kenya,Low,Q1,wooded_grassland,Other
4,chasimba_14_5_2019,chasimba,14,5,39.7176,-3.75498,19.98176816,44.95897836,22.30953753,8.37852066,29,23,50,,Kenya,Low,Q2,grassland,Cultivated
5,chasimba_14_7_2019,chasimba,14,7,39.7204,-3.75536,18.05439484,40.62238838,24.94822721,9.484377,28,21,50,,Kenya,Low,Q2,wooded_grassland,Other
6,chasimba_14_9_2019,chasimba,14,9,39.7114,-3.75598,19.20847156,43.219061,25.12771086,9.39544195,31,27,40,,Kenya,Low,Q2,wooded_grassland,Other
7,chasimba_1_3_2019,chasimba,1,3,39.6544,-3.79168,13.48112132,30.33252298,29.96908381,17.09597118,35,30,50,,Kenya,Low,Q1,grassland,Cultivated
8,chasimba_2_10_2019,chasimba,2,10,39.6541,-3.7665,8.2819079,18.63429276,25.48667816,4.69972909,32,21,40,,Kenya,Low,Q1,wooded_grassland,Cultivated
9,chasimba_2_4_2019,chasimba,2,4,39.65,-3.76624,9.63811105,21.68574986,27.66396681,10.33715745,31,24,40,,Kenya,Low,Q1,wooded_grassland,Other
10,chasimba_2_6_2019,chasimba,2,6,39.6479,-3.76707,14.40959887,32.42159745,22.4700378,8.43824676,34,27,40,,Kenya,Low,Q1,wooded_grassland,Cultivated
11,chasimba_2_9_2019,chasimba,2,9,39.6506,-3.75898,10.39054299,23.37872172,25.30719451,4.6840515,32,22,30,,Kenya,Low,Q1,grassland,Cultivated
12,chasimba_3_1_2019,chasimba,3,1,39.6538,-3.74006,12.29313952,27.65956393,21.66753645,4.36310824,33,25,30,,Kenya,Low,Q1,grassland,Cultivated
