,geography-state_name,plot_details-polygon
0,southwest,4.1795436 43.8963726 475.2 2.001; 4.1801107 43.8964003 485.3 3.994; 4.1801412 43.8967554 494.00000000000006 3.0; 4.1807561 43.8968158 492.2 3.0; 4.180878 43.8963101 491.2 3.0; 4.1807155 43.8959833 490.3 3.0; 4.180374 43.8954115 493.09999999999997 3.035; 4.179633 43.8951156 489.2 3.0; 4.1794735 43.8951624 497.7 3.0; 4.1792878 43.8953585 492.09999999999997 3.0; 4.1791547 43.8954199 494.59999999999997 3.0; 4.1789942 43.8956116 492.00000000000006 3.0; 4.1787667 43.8958376 496.3 3.0; 4.178722 43.8960777 499.59999999999997 3.0; 4.1789415 43.8962163 499.2 3.0; 4.1795436 43.8963726 475.2 2.001
1,southwest,3.8032662 43.2599455 354.9967041015625 4.422; 3.8032873 43.2599473 353.01190185546875 4.054; 3.80329 43.2599451 353.01190185546875 3.893; 3.8032838 43.259928 352.6593017578125 5.314; 3.8032662 43.2599455 354.9967041015625 4.422
2,jubaland.,2.3383528 42.2843823 71.80000305175781 56.1;2.3384602 42.2843619 71.80000305175781 20.509;2.338441 42.2843687 71.80000305175781 23.292;2.3384576 42.2843632 71.80000305175781 10.146;2.3383528 42.2843823 71.80000305175781 56.1
3,jubaland.,2.2952842 42.2544324 64.12939453125 3.216; 2.2942334 42.2551254 65.843505859375 3.216; 2.2961085 42.2573668 64.55706787109375 3.216; 2.2966629 42.2567731 68.50775146484375 3.216; 2.2952842 42.2544324 64.12939453125 3.216
4,jubaland.,2.3819724 42.3140109 78.026123046875 3.79;2.3825438 42.3145703 74.7391357421875 6.041;2.3812963 42.3155069 70.05419921875 5.284;2.3808331 42.3150588 70.08447265625 3.79;2.3819724 42.3140109 78.026123046875 3.79
5,jubaland.,2.3993763 42.3345803 73.785888671875 3.79;2.3989322 42.3337857 76.79150390625 5.1;2.3973455 42.3345816 73.5838623046875 8.286;2.3993763 42.3345803 73.785888671875 3.79
6,jubaland.,2.3142527 42.263926 73.3662109375 4.014;2.3147918 42.2622021 70.55926513671875 8.348;2.3169107 42.2630112 105.7132568359375 9.058;2.316475 42.2648814 73.82733154296875 3.79;2.3142527 42.263926 73.3662109375 4.014
7,jubaland.,2.338481 42.2842712 71.5999984741211 6.52;2.33848 42.2843202 71.5999984741211 11.946;2.3384695 42.2842836 71.5999984741211 4.043;2.338481 42.2842712 71.5999984741211 6.52
8,southwest,4.8409833 43.7004244 473.7 1.7;4.8427297 43.6997548 462.40000000000003 2.05;4.8427217 43.6997533 462.1 1.899;4.8427217 43.6997533 462.1 1.25;4.8441545 43.7025398 468.5 1.6;4.8428669 43.7025075 463.90000000000003 3.265;4.8409833 43.7004244 473.7 1.7
9,jubaland.,2.3280496 42.2731773 72.44256591796875 4.297;2.3290902 42.2716145 71.14019775390625 4.293;2.3294455 42.2715516 73.885986328125 3.79;2.3293036 42.2709678 70.1915283203125 4.445;2.3280496 42.2731773 72.44256591796875 4.297
10,jubaland.,2.3384263 42.2843865 71.80000305175781 20.4; 2.3384254 42.2843864 71.80000305175781 21.601; 2.3384224 42.2843864 71.69999694824219 12.939; 2.3384245 42.2843861 71.80000305175781 7.886; 2.3384272 42.2843836 71.80000305175781 5.228; 2.3384263 42.2843865 71.80000305175781 20.4
11,jubaland.,2.3691896 42.2982767 86.9410400390625 7.193;2.3695008 42.2968961 83.08685302734375 12.85;2.3710704 42.2970254 81.5863037109375 6.29;2.370594 42.2986572 79.434326171875 7.524;2.3691896 42.2982767 86.9410400390625 7.193
12,puntland,7.2893551 48.3187716 313.0 7.0; 7.2893786 48.3178419 305.0 3.521; 7.2895673 48.3178726 308.0 3.328; 7.2893551 48.3187716 313.0 7.0
13,puntland,7.039027 47.7684938 280.0 3.334; 7.038411 47.7669904 283.0 1.5; 7.0367555 47.7715493 281.0 1.5; 7.0242049 47.7520424 286.0 2.0; 7.0242041 47.7520441 286.0 2.0; 7.039027 47.7684938 280.0 3.334
14,puntland,7.1496232 48.1492397 255.0 3.5; 7.1491413 48.1495998 252.0 3.446; 7.1494305 48.1512259 250.0 3.294; 7.1496232 48.1492397 255.0 3.5
15,puntland,7.2885134 48.326266 301.0 3.623; 7.2878514 48.3251193 296.0 3.418; 7.2869007 48.3247811 296.0 3.565; 7.2869113 48.3247877 296.0 3.055; 7.2885134 48.326266 301.0 3.623
16,southwest,4.6377401 43.3781383 376.0 1.3; 4.6383086 43.3785518 375.7 1.433; 4.6385259 43.3770692 375.59999999999997 1.466; 4.637521 43.3765875 377.1 1.433; 4.6373245 43.3778004 374.40000000000003 1.4; 4.6376993 43.3781231 376.40000000000003 1.5; 4.6377401 43.3781383 376.0 1.3
17,southwest…,-1.234977123733409 36.82067569345236 0.0 0.0;-1.2343120903293194 36.81837972253561 0.0 0.0;-1.235714 36.8188806 0.0 0.0;-1.234977123733409 36.82067569345236 0.0 0.0
