,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
0,0,0,0,ETH.1.1.1_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Addis Ketema,,,Woreda,District,140108,
1,1,1,1,ETH.1.1.2_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Akaki Kalit,,,Woreda,District,140101,
2,2,2,2,ETH.1.1.3_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Arada,,,Woreda,District,140109,
3,3,3,3,ETH.1.1.4_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Bole,,,Woreda,District,140104,
4,4,4,4,ETH.1.1.5_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Gulele,,,Woreda,District,140110,
5,5,5,5,ETH.1.1.6_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Kirkos,,,Woreda,District,140106,
6,6,6,6,ETH.1.1.7_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Kolfe Keran,,,Woreda,District,140103,
7,7,7,7,ETH.1.1.8_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Lideta,,,Woreda,District,140105,
8,8,8,8,ETH.1.1.9_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Nefas Silk,,,Woreda,District,140102,
9,9,9,9,ETH.1.1.10_1,ETH,Ethiopia,ETH.1_1,Addis Abeba,,ETH.1.1_1,Addis Abeba,,Yeka,,,Woreda,District,140107,
10,10,10,10,ETH.2.1.1_1,ETH,Ethiopia,ETH.2_1,Afar,,ETH.2.1_1,Afar Zone1,,Adaa'r,,,Woreda,District,201051,
11,11,11,11,ETH.2.1.2_1,ETH,Ethiopia,ETH.2_1,Afar,,ETH.2.1_1,Afar Zone1,,Afambo,,,Woreda,District,20104,
12,12,12,12,ETH.2.1.3_1,ETH,Ethiopia,ETH.2_1,Afar,,ETH.2.1_1,Afar Zone1,,Aysaita,,,Woreda,District,20103,
13,13,13,13,ETH.2.1.4_1,ETH,Ethiopia,ETH.2_1,Afar,,ETH.2.1_1,Afar Zone1,,Chifra,,,Woreda,District,20106,
