GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
GHA1.1_2,GHA,Ghana,GHA1_2,Ahafo,NA,AsunafoNorth,NA,NA,Municipality,Municipality,NA,NA
GHA1.2_2,GHA,Ghana,GHA1_2,Ahafo,NA,AsunafoSouth,NA,NA,District,District,NA,NA
GHA1.3_2,GHA,Ghana,GHA1_2,Ahafo,NA,AsutifiNorth,NA,NA,District,District,NA,NA
GHA1.4_2,GHA,Ghana,GHA1_2,Ahafo,NA,AsutifiSouth,NA,NA,District,District,NA,NA
GHA1.5_2,GHA,Ghana,GHA1_2,Ahafo,NA,TanoNorth,NA,NA,Municipality,Municipality,NA,NA
GHA1.6_2,GHA,Ghana,GHA1_2,Ahafo,NA,TanoSouth,NA,NA,Municipality,Municipality,NA,NA
GHA2.1_2,GHA,Ghana,GHA2_2,Ashanti,NA,AdansiAkrofuom,NA,NA,District,District,NA,NA
GHA2.2_2,GHA,Ghana,GHA2_2,Ashanti,NA,AdansiAsokwa,NA,NA,District,District,NA,NA
GHA2.3_2,GHA,Ghana,GHA2_2,Ashanti,NA,AdansiNorth,NA,NA,District,District,NA,NA
GHA2.4_2,GHA,Ghana,GHA2_2,Ashanti,NA,AdansiSouth,NA,NA,District,District,NA,NA
GHA2.5_2,GHA,Ghana,GHA2_2,Ashanti,NA,Afigya-KwabreNorth,NA,NA,District,District,NA,NA
GHA2.6_2,GHA,Ghana,GHA2_2,Ashanti,NA,Afigya-KwabreSouth,NA,NA,District,District,NA,NA
GHA2.7_2,GHA,Ghana,GHA2_2,Ashanti,NA,Ahafo-AnoNorth,NA,NA,Municipality,Municipality,NA,NA
GHA2.8_2,GHA,Ghana,GHA2_2,Ashanti,NA,Ahafo-AnoSouthEast,NA,NA,District,District,NA,NA
GHA2.9_2,GHA,Ghana,GHA2_2,Ashanti,NA,Ahafo-AnoSouthWest,NA,NA,District,District,NA,NA
GHA2.10_2,GHA,Ghana,GHA2_2,Ashanti,NA,AmansieCentral,NA,NA,District,District,NA,NA
GHA2.11_2,GHA,Ghana,GHA2_2,Ashanti,NA,AmansieSouth,NA,NA,District,District,NA,NA
GHA2.12_2,GHA,Ghana,GHA2_2,Ashanti,NA,AmansieWest,NA,NA,District,District,NA,NA
GHA2.13_2,GHA,Ghana,GHA2_2,Ashanti,NA,Asante-AkimCentral,NA,NA,Municipality,Municipality,NA,NA
GHA2.14_2,GHA,Ghana,GHA2_2,Ashanti,NA,Asante-AkimNorth,NA,NA,District,District,NA,NA
GHA2.15_2,GHA,Ghana,GHA2_2,Ashanti,NA,Asante-AkimSouth,NA,NA,District,District,NA,NA
GHA2.16_2,GHA,Ghana,GHA2_2,Ashanti,NA,Asokore-Mampong,NA,NA,Municipality,Municipality,NA,NA
GHA2.17_2,GHA,Ghana,GHA2_2,Ashanti,NA,Asokwa,NA,NA,Municipality,Municipality,NA,NA
GHA2.18_2,GHA,Ghana,GHA2_2,Ashanti,NA,Atwima-Kwanwoma,NA,NA,District,District,NA,NA
GHA2.19_2,GHA,Ghana,GHA2_2,Ashanti,NA,Atwima-Mponua,NA,NA,District,District,NA,NA
GHA2.20_2,GHA,Ghana,GHA2_2,Ashanti,NA,Atwima-NwabiagyaNorth,NA,NA,District,District,NA,NA
GHA2.21_2,GHA,Ghana,GHA2_2,Ashanti,NA,Atwima-NwabiagyaSouth,NA,NA,Municipality,Municipality,NA,NA
GHA2.22_2,GHA,Ghana,GHA2_2,Ashanti,NA,Bekwai,NA,NA,Municipality,Municipality,NA,NA
GHA2.23_2,GHA,Ghana,GHA2_2,Ashanti,NA,BosomeFreho,NA,NA,District,District,NA,NA
GHA2.24_2,GHA,Ghana,GHA2_2,Ashanti,NA,Bosomtwe,NA,NA,District,District,NA,NA
GHA2.25_2,GHA,Ghana,GHA2_2,Ashanti,NA,Ejisu,NA,NA,Municipality,Municipality,NA,NA
GHA2.26_2,GHA,Ghana,GHA2_2,Ashanti,NA,Ejura-Sekyedumase,NA,NA,District,District,NA,NA
GHA2.27_2,GHA,Ghana,GHA2_2,Ashanti,NA,Juaben,NA,NA,Municipality,Municipality,NA,NA
GHA2.28_2,GHA,Ghana,GHA2_2,Ashanti,NA,Kumasi,NA,NA,Metropolis,Metropolis,NA,NA
GHA2.29_2,GHA,Ghana,GHA2_2,Ashanti,NA,KwabreEast,NA,NA,District,District,NA,NA
GHA2.30_2,GHA,Ghana,GHA2_2,Ashanti,NA,Kwadaso,NA,NA,Municipality,Municipality,NA,NA
GHA2.31_2,GHA,Ghana,GHA2_2,Ashanti,NA,Mampong,NA,NA,Municipality,Municipality,NA,NA
GHA2.32_2,GHA,Ghana,GHA2_2,Ashanti,NA,Obuasi,NA,NA,Municipality,Municipality,NA,NA
GHA2.33_2,GHA,Ghana,GHA2_2,Ashanti,NA,ObuasiEast,NA,NA,Municipality,Municipality,NA,NA
GHA2.34_2,GHA,Ghana,GHA2_2,Ashanti,NA,Offinso,NA,NA,Municipality,Municipality,NA,NA
GHA2.35_2,GHA,Ghana,GHA2_2,Ashanti,NA,OffinsoNorth,NA,NA,District,District,NA,NA
GHA2.36_2,GHA,Ghana,GHA2_2,Ashanti,NA,Oforikrom,NA,NA,Municipality,Municipality,NA,NA
GHA2.37_2,GHA,Ghana,GHA2_2,Ashanti,NA,OldTafo,NA,NA,Municipality,Municipality,NA,NA
GHA2.38_2,GHA,Ghana,GHA2_2,Ashanti,NA,SekyereAframPlainsNorth,NA,NA,District,District,NA,NA
GHA2.39_2,GHA,Ghana,GHA2_2,Ashanti,NA,SekyereCentral,NA,NA,District,District,NA,NA
GHA2.40_2,GHA,Ghana,GHA2_2,Ashanti,NA,SekyereEast,NA,NA,District,District,NA,NA
GHA2.41_2,GHA,Ghana,GHA2_2,Ashanti,NA,SekyereKumawu,NA,NA,District,District,NA,NA
GHA2.42_2,GHA,Ghana,GHA2_2,Ashanti,NA,SekyereSouth,NA,NA,District,District,NA,NA
GHA2.43_2,GHA,Ghana,GHA2_2,Ashanti,NA,Suame,NA,NA,Municipality,Municipality,NA,NA
GHA3.1_2,GHA,Ghana,GHA3_2,Bono,NA,Banda,NA,NA,District,District,NA,NA
GHA3.2_2,GHA,Ghana,GHA3_2,Bono,NA,BerekumEast,NA,NA,Municipality,Municipality,NA,NA
GHA3.3_2,GHA,Ghana,GHA3_2,Bono,NA,BerekumWest,NA,NA,District,District,NA,NA
GHA3.4_2,GHA,Ghana,GHA3_2,Bono,NA,Dormaa,NA,NA,Municipality,Municipality,NA,NA
GHA3.5_2,GHA,Ghana,GHA3_2,Bono,NA,DormaaEast,NA,NA,District,District,NA,NA
GHA3.6_2,GHA,Ghana,GHA3_2,Bono,NA,DormaaWest,NA,NA,District,District,NA,NA
GHA3.7_2,GHA,Ghana,GHA3_2,Bono,NA,JamanNorth,NA,NA,District,District,NA,NA
GHA3.8_2,GHA,Ghana,GHA3_2,Bono,NA,JamanSouth,NA,NA,Municipality,Municipality,NA,NA
GHA3.9_2,GHA,Ghana,GHA3_2,Bono,NA,Sunyani,NA,NA,Municipality,Municipality,NA,NA
GHA3.10_2,GHA,Ghana,GHA3_2,Bono,NA,SunyaniWest,NA,NA,District,District,NA,NA
GHA3.11_2,GHA,Ghana,GHA3_2,Bono,NA,Tain,NA,NA,District,District,NA,NA
GHA3.12_2,GHA,Ghana,GHA3_2,Bono,NA,Wenchi,NA,NA,Municipality,Municipality,NA,NA
GHA4.1_2,GHA,Ghana,GHA4_2,BonoEast,NA,Atebubu-Amantin,NA,NA,Municipality,Municipality,NA,NA
GHA4.2_2,GHA,Ghana,GHA4_2,BonoEast,NA,KintampoNorth,NA,NA,Municipality,Municipality,NA,NA
GHA4.3_2,GHA,Ghana,GHA4_2,BonoEast,NA,KintampoSouth,NA,NA,District,District,NA,NA
GHA4.4_2,GHA,Ghana,GHA4_2,BonoEast,NA,NkoranzaNorth,NA,NA,District,District,NA,NA
GHA4.5_2,GHA,Ghana,GHA4_2,BonoEast,NA,NkoranzaSouth,NA,NA,Municipality,Municipality,NA,NA
GHA4.6_2,GHA,Ghana,GHA4_2,BonoEast,NA,PruEast,NA,NA,District,District,NA,NA
GHA4.7_2,GHA,Ghana,GHA4_2,BonoEast,NA,PruWest,NA,NA,District,District,NA,NA
GHA4.8_2,GHA,Ghana,GHA4_2,BonoEast,NA,SeneEast,NA,NA,District,District,NA,NA
GHA4.9_2,GHA,Ghana,GHA4_2,BonoEast,NA,SeneWest,NA,NA,District,District,NA,NA
GHA4.10_2,GHA,Ghana,GHA4_2,BonoEast,NA,Techiman,NA,NA,Municipality,Municipality,NA,NA
GHA4.11_2,GHA,Ghana,GHA4_2,BonoEast,NA,TechimanNorth,NA,NA,District,District,NA,NA
GHA5.1_2,GHA,Ghana,GHA5_2,Central,NA,Abura-Asebu-Kwamankese,NA,NA,District,District,NA,NA
GHA5.2_2,GHA,Ghana,GHA5_2,Central,NA,AgonaEast,NA,NA,District,District,NA,NA
GHA5.3_2,GHA,Ghana,GHA5_2,Central,NA,AgonaWest,NA,NA,Municipality,Municipality,NA,NA
GHA5.4_2,GHA,Ghana,GHA5_2,Central,NA,Ajumako-Enyan-Essiam,NA,NA,District,District,NA,NA
GHA5.5_2,GHA,Ghana,GHA5_2,Central,NA,Asikuma-Odoben-Brakwa,NA,NA,District,District,NA,NA
GHA5.6_2,GHA,Ghana,GHA5_2,Central,NA,AssinCentral,NA,NA,Municipality,Municipality,NA,NA
GHA5.7_2,GHA,Ghana,GHA5_2,Central,NA,AssinNorth,NA,NA,District,District,NA,NA
GHA5.8_2,GHA,Ghana,GHA5_2,Central,NA,AssinSouth,NA,NA,District,District,NA,NA
GHA5.10_2,GHA,Ghana,GHA5_2,Central,NA,AwutuSenyaEast,NA,NA,Municipality,Municipality,NA,NA
GHA5.9_2,GHA,Ghana,GHA5_2,Central,NA,AwutuSenyaWest,NA,NA,District,District,NA,NA
GHA5.11_2,GHA,Ghana,GHA5_2,Central,NA,CapeCoast,NA,NA,Metropolis,Metropolis,NA,NA
GHA5.12_2,GHA,Ghana,GHA5_2,Central,NA,Effutu,NA,NA,Municipality,Municipality,NA,NA
GHA5.13_2,GHA,Ghana,GHA5_2,Central,NA,Ekumfi,NA,NA,District,District,NA,NA
GHA5.14_2,GHA,Ghana,GHA5_2,Central,NA,GomoaCentral,NA,NA,District,District,NA,NA
GHA5.15_2,GHA,Ghana,GHA5_2,Central,NA,GomoaEast,NA,NA,District,District,NA,NA
GHA5.16_2,GHA,Ghana,GHA5_2,Central,NA,GomoaWest,NA,NA,District,District,NA,NA
GHA5.17_2,GHA,Ghana,GHA5_2,Central,NA,Komenda-Edina-Eguafo-Abirem-,NA,NA,Municipality,Municipality,NA,NA
GHA5.18_2,GHA,Ghana,GHA5_2,Central,NA,Mfantseman,NA,NA,Municipality,Municipality,NA,NA
GHA5.19_2,GHA,Ghana,GHA5_2,Central,NA,Twifo-Atti-Morkwa,NA,NA,District,District,NA,NA
GHA5.20_2,GHA,Ghana,GHA5_2,Central,NA,Twifo-Hemang-LowerDenkyira,NA,NA,District,District,NA,NA
GHA5.21_2,GHA,Ghana,GHA5_2,Central,NA,UpperDenkyiraEast,NA,NA,Municipality,Municipality,NA,NA
GHA5.22_2,GHA,Ghana,GHA5_2,Central,NA,UpperDenkyiraWest,NA,NA,District,District,NA,NA
GHA6.1_2,GHA,Ghana,GHA6_2,Eastern,NA,AbuakwaNorth,NA,NA,Municipality,Municipality,NA,NA
GHA6.2_2,GHA,Ghana,GHA6_2,Eastern,NA,AbuakwaSouth,NA,NA,Municipality,Municipality,NA,NA
GHA6.3_2,GHA,Ghana,GHA6_2,Eastern,NA,Achiase,NA,NA,District,District,NA,NA
GHA6.4_2,GHA,Ghana,GHA6_2,Eastern,NA,AkwapemNorth,NA,NA,Municipality,Municipality,NA,NA
GHA6.5_2,GHA,Ghana,GHA6_2,Eastern,NA,AkwapemSouth,NA,NA,District,District,NA,NA
GHA6.6_2,GHA,Ghana,GHA6_2,Eastern,NA,Akyemansa,NA,NA,District,District,NA,NA
GHA6.7_2,GHA,Ghana,GHA6_2,Eastern,NA,Asene-Manso-Akroso,NA,NA,District,District,NA,NA
GHA6.8_2,GHA,Ghana,GHA6_2,Eastern,NA,Asuogyaman,NA,NA,District,District,NA,NA
GHA6.9_2,GHA,Ghana,GHA6_2,Eastern,NA,AtiwaEast,NA,NA,District,District,NA,NA
GHA6.10_2,GHA,Ghana,GHA6_2,Eastern,NA,AtiwaWest,NA,NA,District,District,NA,NA
GHA6.11_2,GHA,Ghana,GHA6_2,Eastern,NA,Ayensuano,NA,NA,District,District,NA,NA
GHA6.12_2,GHA,Ghana,GHA6_2,Eastern,NA,BirimCentral,NA,NA,Municipality,Municipality,NA,NA
GHA6.13_2,GHA,Ghana,GHA6_2,Eastern,NA,BirimNorth,NA,NA,District,District,NA,NA
GHA6.14_2,GHA,Ghana,GHA6_2,Eastern,NA,BirimSouth,NA,NA,District,District,NA,NA
GHA6.15_2,GHA,Ghana,GHA6_2,Eastern,NA,Denkyembour,NA,NA,District,District,NA,NA
GHA6.16_2,GHA,Ghana,GHA6_2,Eastern,NA,FanteakwaNorth,NA,NA,District,District,NA,NA
GHA6.17_2,GHA,Ghana,GHA6_2,Eastern,NA,FanteakwaSouth,NA,NA,District,District,NA,NA
GHA6.18_2,GHA,Ghana,GHA6_2,Eastern,NA,Kwaebibirem,NA,NA,Municipality,Municipality,NA,NA
