GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
GIN.1.1_1,GIN,Guinea,GIN.1_1,Boké,NA,Boffa,NA,NA,Préfecture,Prefecture,NA,GN.BF
GIN.1.2_1,GIN,Guinea,GIN.1_1,Boké,NA,Boké,NA,NA,Préfecture,Prefecture,NA,GN.BK
GIN.1.3_1,GIN,Guinea,GIN.1_1,Boké,NA,Fria,NA,NA,Préfecture,Prefecture,NA,GN.FR
GIN.1.4_1,GIN,Guinea,GIN.1_1,Boké,NA,Gaoual,NA,NA,Préfecture,Prefecture,NA,GN.GA
GIN.1.5_1,GIN,Guinea,GIN.1_1,Boké,NA,Koundara,Youkoukoun|Youkounkoun,NA,Préfecture,Prefecture,NA,GN.KD
GIN.2.1_1,GIN,Guinea,GIN.2_1,Conakry,NA,Conakry,NA,NA,Préfecture,Prefecture,NA,GN.CK
GIN.3.1_1,GIN,Guinea,GIN.3_1,Faranah,NA,Dabola,NA,NA,Préfecture,Prefecture,NA,GN.DB
GIN.3.2_1,GIN,Guinea,GIN.3_1,Faranah,NA,Dinguiraye,NA,NA,Préfecture,Prefecture,NA,GN.DI
GIN.3.3_1,GIN,Guinea,GIN.3_1,Faranah,NA,Faranah,NA,NA,Préfecture,Prefecture,NA,GN.FA
GIN.3.4_1,GIN,Guinea,GIN.3_1,Faranah,NA,Kissidougou,NA,NA,Préfecture,Prefecture,NA,GN.KS
GIN.4.1_1,GIN,Guinea,GIN.4_1,Kankan,NA,Kankan,NA,NA,Préfecture,Prefecture,NA,GN.KA
GIN.4.2_1,GIN,Guinea,GIN.4_1,Kankan,NA,Kérouané,NA,NA,Préfecture,Prefecture,NA,GN.KE
GIN.4.3_1,GIN,Guinea,GIN.4_1,Kankan,NA,Kouroussa,NA,NA,Préfecture,Prefecture,NA,GN.KO
GIN.4.4_1,GIN,Guinea,GIN.4_1,Kankan,NA,Mandiana,NA,NA,Préfecture,Prefecture,NA,GN.MD
GIN.4.5_1,GIN,Guinea,GIN.4_1,Kankan,NA,Siguiri,NA,NA,Préfecture,Prefecture,NA,GN.SI
GIN.5.1_1,GIN,Guinea,GIN.5_1,Kindia,NA,Coyah,NA,NA,Préfecture,Prefecture,NA,GN.CO
GIN.5.2_1,GIN,Guinea,GIN.5_1,Kindia,NA,Dubréka,NA,NA,Préfecture,Prefecture,NA,GN.DU
GIN.5.3_1,GIN,Guinea,GIN.5_1,Kindia,NA,Forécariah,NA,NA,Préfecture,Prefecture,NA,GN.FO
GIN.5.4_1,GIN,Guinea,GIN.5_1,Kindia,NA,Kindia,NA,NA,Préfecture,Prefecture,NA,GN.KI
GIN.5.5_1,GIN,Guinea,GIN.5_1,Kindia,NA,Télimélé,NA,NA,Préfecture,Prefecture,NA,GN.TE
GIN.6.1_1,GIN,Guinea,GIN.6_1,Labé,NA,Koubia,NA,NA,Préfecture,Prefecture,NA,GN.KB
GIN.6.2_1,GIN,Guinea,GIN.6_1,Labé,NA,Labé,NA,NA,Préfecture,Prefecture,NA,GN.LA
GIN.6.3_1,GIN,Guinea,GIN.6_1,Labé,NA,Lélouma,NA,NA,Préfecture,Prefecture,NA,GN.LE
GIN.6.4_1,GIN,Guinea,GIN.6_1,Labé,NA,Mali,NA,NA,Préfecture,Prefecture,NA,GN.ML
GIN.6.5_1,GIN,Guinea,GIN.6_1,Labé,NA,Tougué,Touge,NA,Préfecture,Prefecture,NA,GN.TO
GIN.7.1_1,GIN,Guinea,GIN.7_1,Mamou,NA,Dalaba,NA,NA,Préfecture,Prefecture,NA,GN.DL
GIN.7.2_1,GIN,Guinea,GIN.7_1,Mamou,NA,Mamou,NA,NA,Préfecture,Prefecture,NA,GN.MM
GIN.7.3_1,GIN,Guinea,GIN.7_1,Mamou,NA,Pita,NA,NA,Préfecture,Prefecture,NA,GN.PI
GIN.8.1_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Beyla,NA,NA,Préfecture,Prefecture,NA,GN.BE
GIN.8.2_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Guéckédou,Guékédou,NA,Préfecture,Prefecture,NA,GN.GU
GIN.8.3_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Lola,NA,NA,Préfecture,Prefecture,NA,GN.LO
GIN.8.4_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Macenta,NA,NA,Préfecture,Prefecture,NA,GN.MC
GIN.8.5_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Nzérékoré,NA,NA,Préfecture,Prefecture,NA,GN.NZ
GIN.8.6_1,GIN,Guinea,GIN.8_1,Nzérékoré,NA,Yamou,NA,NA,Préfecture,Prefecture,NA,GN.YO
