GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
MLI.1.1_1,MLI,Mali,MLI.1_1,Bamako,NA,Bamako,NA,NA,Cercle,Circle,NA,ML.BA.BM
MLI.2.1_1,MLI,Mali,MLI.2_1,Gao,NA,Ansongo,NA,NA,Cercle,Circle,NA,ML.GA.AN
MLI.2.2_1,MLI,Mali,MLI.2_1,Gao,NA,Bourem,NA,NA,Cercle,Circle,NA,ML.GA.BO
MLI.2.3_1,MLI,Mali,MLI.2_1,Gao,NA,Gao,NA,NA,Cercle,Circle,NA,ML.GA.GA
MLI.2.4_1,MLI,Mali,MLI.2_1,Gao,NA,Ménaka,NA,NA,Cercle,Circle,NA,ML.GA.MN
MLI.3.1_1,MLI,Mali,MLI.3_1,Kayes,NA,Bafoulabé,Bafoulabe,NA,Cercle,Circle,NA,ML.KY.BF
MLI.3.2_1,MLI,Mali,MLI.3_1,Kayes,NA,Diéma,Diema,NA,Cercle,Circle,NA,ML.KY.DM
MLI.3.3_1,MLI,Mali,MLI.3_1,Kayes,NA,Kayes,NA,NA,Cercle,Circle,NA,ML.KY.KY
MLI.3.4_1,MLI,Mali,MLI.3_1,Kayes,NA,Kéniéba,Kenieba,NA,Cercle,Circle,NA,ML.KY.KN
MLI.3.5_1,MLI,Mali,MLI.3_1,Kayes,NA,Kita,NA,NA,Cercle,Circle,NA,ML.KY.KI
MLI.3.6_1,MLI,Mali,MLI.3_1,Kayes,NA,Nioro,NioroduSahel,NA,Cercle,Circle,NA,ML.KY.NR
MLI.3.7_1,MLI,Mali,MLI.3_1,Kayes,NA,Yélimané,Yelimane,NA,Cercle,Circle,NA,ML.KY.YL
MLI.4.1_1,MLI,Mali,MLI.4_1,Kidal,NA,Abeïbara,NA,NA,Cercle,Circle,NA,ML.KD.AB
MLI.4.2_1,MLI,Mali,MLI.4_1,Kidal,NA,Kidal,NA,NA,Cercle,Circle,NA,ML.KD.KL
MLI.4.3_1,MLI,Mali,MLI.4_1,Kidal,NA,Tessalit,NA,NA,Cercle,Circle,NA,ML.KD.TS
MLI.4.4_1,MLI,Mali,MLI.4_1,Kidal,NA,Tin-Essako,NA,NA,Cercle,Circle,NA,ML.KD.TE
MLI.5.1_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Banamba,NA,NA,Cercle,Circle,NA,ML.KK.BB
MLI.5.2_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Dioïla,NA,NA,Cercle,Circle,NA,ML.KK.DL
MLI.5.3_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Kangaba,NA,NA,Cercle,Circle,NA,ML.KK.KG
MLI.5.4_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Kati,NA,NA,Cercle,Circle,NA,ML.KK.KT
MLI.5.5_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Kolokani,NA,NA,Cercle,Circle,NA,ML.KK.KO
MLI.5.6_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Koulikoro,NA,NA,Cercle,Circle,NA,ML.KK.KK
MLI.5.7_1,MLI,Mali,MLI.5_1,Koulikoro,NA,Nara,NA,NA,Cercle,Circle,NA,ML.KK.NA
MLI.6.1_1,MLI,Mali,MLI.6_1,Mopti,NA,Bandiagara,NA,NA,Cercle,Circle,NA,ML.MO.BD
MLI.6.2_1,MLI,Mali,MLI.6_1,Mopti,NA,Bankass,NA,NA,Cercle,Circle,NA,ML.MO.BK
MLI.6.3_1,MLI,Mali,MLI.6_1,Mopti,NA,Djenné,Djenne,NA,Cercle,Circle,NA,ML.MO.DJ
MLI.6.4_1,MLI,Mali,MLI.6_1,Mopti,NA,Douentza,NA,NA,Cercle,Circle,NA,ML.MO.DZ
MLI.6.5_1,MLI,Mali,MLI.6_1,Mopti,NA,Koro,NA,NA,Cercle,Circle,NA,ML.MO.KR
MLI.6.6_1,MLI,Mali,MLI.6_1,Mopti,NA,Mopti,NA,NA,Cercle,Circle,NA,ML.MO.MP
MLI.6.7_1,MLI,Mali,MLI.6_1,Mopti,NA,Ténenkou,Tenenkou,NA,Cercle,Circle,NA,ML.MO.TN
MLI.6.8_1,MLI,Mali,MLI.6_1,Mopti,NA,Youwarou,Youvarou,NA,Cercle,Circle,NA,ML.MO.YW
MLI.7.1_1,MLI,Mali,MLI.7_1,Ségou,NA,Barouéli,Baraoueli,NA,Cercle,Circle,NA,ML.SG.BR
MLI.7.2_1,MLI,Mali,MLI.7_1,Ségou,NA,Bla,NA,NA,Cercle,Circle,NA,ML.SG.BL
MLI.7.3_1,MLI,Mali,MLI.7_1,Ségou,NA,Macina,NA,NA,Cercle,Circle,NA,ML.SG.MC
MLI.7.4_1,MLI,Mali,MLI.7_1,Ségou,NA,Niono,NA,NA,Cercle,Circle,NA,ML.SG.NN
MLI.7.5_1,MLI,Mali,MLI.7_1,Ségou,NA,San,NA,NA,Cercle,Circle,NA,ML.SG.SN
MLI.7.6_1,MLI,Mali,MLI.7_1,Ségou,NA,Ségou,Segou,NA,Cercle,Circle,NA,ML.SG.SG
MLI.7.7_1,MLI,Mali,MLI.7_1,Ségou,NA,Tominian,NA,NA,Cercle,Circle,NA,ML.SG.TM
MLI.8.1_1,MLI,Mali,MLI.8_1,Sikasso,NA,Bougouni,NA,NA,Cercle,Circle,NA,ML.SK.BG
MLI.8.2_1,MLI,Mali,MLI.8_1,Sikasso,NA,Kadiolo,NA,NA,Cercle,Circle,NA,ML.SK.KD
MLI.8.3_1,MLI,Mali,MLI.8_1,Sikasso,NA,Kolondiéba,Kolondieba,NA,Cercle,Circle,NA,ML.SK.KB
MLI.8.4_1,MLI,Mali,MLI.8_1,Sikasso,NA,Koutiala,NA,NA,Cercle,Circle,NA,ML.SK.KU
MLI.8.5_1,MLI,Mali,MLI.8_1,Sikasso,NA,Sikasso,NA,NA,Cercle,Circle,NA,ML.SK.SK
MLI.8.6_1,MLI,Mali,MLI.8_1,Sikasso,NA,Yanfolila,NA,NA,Cercle,Circle,NA,ML.SK.YF
MLI.8.7_1,MLI,Mali,MLI.8_1,Sikasso,NA,Yorosso,NA,NA,Cercle,Circle,NA,ML.SK.YR
MLI.9.1_1,MLI,Mali,MLI.9_1,Timbuktu,NA,Diré,NA,NA,Cercle,Circle,NA,ML.TB.DR
MLI.9.2_1,MLI,Mali,MLI.9_1,Timbuktu,NA,Goundam,NA,NA,Cercle,Circle,NA,ML.TB.GD
MLI.9.3_1,MLI,Mali,MLI.9_1,Timbuktu,NA,Gourma-Rharous,NA,NA,Cercle,Circle,NA,ML.TB.GR
MLI.9.4_1,MLI,Mali,MLI.9_1,Timbuktu,NA,Niafunké,Niafunke,NA,Cercle,Circle,NA,ML.TB.NF
MLI.9.5_1,MLI,Mali,MLI.9_1,Timbuktu,NA,Tombouctou,Timbuktu,NA,Cercle,Circle,NA,ML.TB.TB
