GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
NER.1.1_1,NER,Niger,NER.1_1,Agadez,NA,Arlit,NA,NA,Arrondissement,Arrondissement,NA,NE.AG.AR
NER.1.2_1,NER,Niger,NER.1_1,Agadez,NA,Bilma,NA,NA,Arrondissement,Arrondissement,NA,NE.AG.BL
NER.1.3_1,NER,Niger,NER.1_1,Agadez,NA,Tchighozerine,NA,NA,Arrondissement,Arrondissement,NA,NA
NER.2.1_1,NER,Niger,NER.2_1,Diffa,NA,Diffa,NA,NA,Arrondissement,Arrondissement,NA,NE.DF.DF
NER.2.2_1,NER,Niger,NER.2_1,Diffa,NA,Maïné-Soroa,NA,NA,Arrondissement,Arrondissement,NA,NE.DF.MS
NER.2.3_1,NER,Niger,NER.2_1,Diffa,NA,N'Guigmi,NA,NA,Arrondissement,Arrondissement,NA,NE.DF.NG
NER.3.1_1,NER,Niger,NER.3_1,Dosso,NA,Boboye,BirniN'Gaouré,NA,Arrondissement,Arrondissement,NA,NE.DS.BG
NER.3.2_1,NER,Niger,NER.3_1,Dosso,NA,Dogon-Doutchi,NA,NA,Arrondissement,Arrondissement,NA,NE.DS.DD
NER.3.3_1,NER,Niger,NER.3_1,Dosso,NA,Dosso,NA,NA,Arrondissement,Arrondissement,NA,NE.DS.DS
NER.3.4_1,NER,Niger,NER.3_1,Dosso,NA,Gaya,NA,NA,Arrondissement,Arrondissement,NA,NE.DS.GA
NER.3.5_1,NER,Niger,NER.3_1,Dosso,NA,Loga,NA,NA,Arrondissement,Arrondissement,NA,NE.DS.LO
NER.4.1_1,NER,Niger,NER.4_1,Maradi,NA,Aguié,NA,NA,Arrondissement,Arrondissement,NA,NE.MA.AG
NER.4.2_1,NER,Niger,NER.4_1,Maradi,NA,Dakoro,NA,NA,Arrondissement,Arrondissement,NA,NE.MA.DK
NER.4.3_1,NER,Niger,NER.4_1,Maradi,NA,Groumdji,Guidan-Roumdji,NA,Arrondissement,Arrondissement,NA,NE.MA.GR
NER.4.4_1,NER,Niger,NER.4_1,Maradi,NA,Madarounfa,NA,NA,Arrondissement,Arrondissement,NA,NE.MA.MF
NER.4.5_1,NER,Niger,NER.4_1,Maradi,NA,Mayahi,NA,NA,Arrondissement,Arrondissement,NA,NE.MA.MY
NER.4.6_1,NER,Niger,NER.4_1,Maradi,NA,Tessaoua,NA,NA,Arrondissement,Arrondissement,NA,NE.MA.TS
NER.5.1_1,NER,Niger,NER.5_1,Niamey,NA,Niamey,NA,NA,Arrondissement,Arrondissement,NA,NA
NER.6.1_1,NER,Niger,NER.6_1,Tahoua,NA,Bkonni,BirniN'Konni,NA,Arrondissement,Arrondissement,NA,NE.TH.BK
NER.6.2_1,NER,Niger,NER.6_1,Tahoua,NA,Bouza,NA,NA,Arrondissement,Arrondissement,NA,NE.TH.BZ
NER.6.3_1,NER,Niger,NER.6_1,Tahoua,NA,Illéla,NA,NA,Arrondissement,Arrondissement,NA,NE.TH.IL
NER.6.4_1,NER,Niger,NER.6_1,Tahoua,NA,Keita,NA,NA,Arrondissement,Arrondissement,NA,NE.TH.KE
NER.6.5_1,NER,Niger,NER.6_1,Tahoua,NA,Madaoua,NA,NA,Arrondissement,Arrondissement,NA,NE.TH.MD
NER.6.6_1,NER,Niger,NER.6_1,Tahoua,NA,Tahoua,NA,NA,Arrondissement,Arrondissement,NA,NE.TH.TH
NER.6.7_1,NER,Niger,NER.6_1,Tahoua,NA,Tchin-Tabarade,Tchin-Tabaraden,NA,Arrondissement,Arrondissement,NA,NE.TH.TT
NER.7.1_1,NER,Niger,NER.7_1,Tillabéry,NA,Filingué,NA,NA,Arrondissement,Arrondissement,NA,NE.TL.FI
NER.7.2_1,NER,Niger,NER.7_1,Tillabéry,NA,Kollo,NA,NA,Arrondissement,Arrondissement,NA,NA
NER.7.3_1,NER,Niger,NER.7_1,Tillabéry,NA,Ouallam,NA,NA,Arrondissement,Arrondissement,NA,NE.TL.OU
NER.7.4_1,NER,Niger,NER.7_1,Tillabéry,NA,Say,NA,NA,Arrondissement,Arrondissement,NA,NE.TL.SA
NER.7.5_1,NER,Niger,NER.7_1,Tillabéry,NA,Téra,NA,NA,Arrondissement,Arrondissement,NA,NE.TL.TR
NER.7.6_1,NER,Niger,NER.7_1,Tillabéry,NA,Tillabéry,NA,NA,Arrondissement,Arrondissement,NA,NE.TL.TL
NER.8.1_1,NER,Niger,NER.8_1,Zinder,NA,Gouré,NA,NA,Arrondissement,Arrondissement,NA,NE.ZI.GO
NER.8.2_1,NER,Niger,NER.8_1,Zinder,NA,Magaria,NA,NA,Arrondissement,Arrondissement,NA,NE.ZI.MG
NER.8.3_1,NER,Niger,NER.8_1,Zinder,NA,Matameye,Matamey,NA,Arrondissement,Arrondissement,NA,NE.ZI.MT
NER.8.4_1,NER,Niger,NER.8_1,Zinder,NA,Mirriah,Miria|Mirria,NA,Arrondissement,Arrondissement,NA,NE.ZI.MR
NER.8.5_1,NER,Niger,NER.8_1,Zinder,NA,Tanout,NA,NA,Arrondissement,Arrondissement,NA,NE.ZI.TN
