GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
RWA.1.1_1,RWA,Rwanda,RWA.1_1,Amajyaruguru,NA,Burera,NA,NA,District,District,44,RW.NO.BR
RWA.1.2_1,RWA,Rwanda,RWA.1_1,Amajyaruguru,NA,Gakenke,NA,NA,District,District,42,RW.NO.GK
RWA.1.3_1,RWA,Rwanda,RWA.1_1,Amajyaruguru,NA,Gicumbi,NA,NA,District,District,45,RW.NO.GC
RWA.1.4_1,RWA,Rwanda,RWA.1_1,Amajyaruguru,NA,Musanze,NA,NA,District,District,43,RW.NO.MS
RWA.1.5_1,RWA,Rwanda,RWA.1_1,Amajyaruguru,NA,Rulindo,NA,NA,District,District,41,RW.NO.RL
RWA.2.1_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Gisagara,NA,NA,District,District,22,RW.SU.GG
RWA.2.2_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Huye,NA,NA,District,District,24,RW.SU.HU
RWA.2.3_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Kamonyi,NA,NA,District,District,28,RW.SU.KM
RWA.2.4_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Muhanga,NA,NA,District,District,27,RW.SU.MH
RWA.2.5_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Nyamagabe,NA,NA,District,District,25,RW.SU.NY
RWA.2.6_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Nyanza,NA,NA,District,District,21,RW.SU.NZ
RWA.2.7_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Nyaruguru,NA,NA,District,District,23,RW.SU.NU
RWA.2.8_1,RWA,Rwanda,RWA.2_1,Amajyepfo,NA,Ruhango,NA,NA,District,District,26,RW.SU.RH
RWA.3.1_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Bugesera,NA,NA,District,District,57,RW.ES.BG
RWA.3.2_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Gatsibo,NA,NA,District,District,53,RW.ES.GT
RWA.3.3_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Kayonza,NA,NA,District,District,54,RW.ES.KZ
RWA.3.4_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Kirehe,NA,NA,District,District,55,RW.ES.KH
RWA.3.5_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Ngoma,NA,NA,District,District,56,RW.ES.NM
RWA.3.6_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Nyagatare,NA,NA,District,District,52,RW.ES.NT
RWA.3.7_1,RWA,Rwanda,RWA.3_1,Iburasirazuba,NA,Rwamagana,NA,NA,District,District,51,RW.ES.RM
RWA.4.1_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Karongi,NA,NA,District,District,31,RW.OU.KG
RWA.4.2_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Ngororero,NA,NA,District,District,35,RW.OU.NR
RWA.4.3_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Nyabihu,NA,NA,District,District,34,RW.OU.NB
RWA.4.4_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Nyamasheke,NA,NA,District,District,37,RW.OU.NS
RWA.4.5_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Rubavu,NA,NA,District,District,33,RW.OU.RB
RWA.4.6_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Rusizi,NA,NA,District,District,36,RW.OU.RS
RWA.4.7_1,RWA,Rwanda,RWA.4_1,Iburengerazuba,NA,Rutsiro,NA,NA,District,District,32,RW.OU.RT
RWA.5.1_1,RWA,Rwanda,RWA.5_1,UmujyiwaKigali,NA,Gasabo,NA,NA,District,District,12,RW.KV.GB
RWA.5.2_1,RWA,Rwanda,RWA.5_1,UmujyiwaKigali,NA,Kicukiro,NA,NA,District,District,13,RW.KV.KK
RWA.5.3_1,RWA,Rwanda,RWA.5_1,UmujyiwaKigali,NA,Nyarugenge,NA,NA,District,District,11,RW.KV.NG
