GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
SEN.1.1_1,SEN,Senegal,SEN.1_1,Dakar,NA,Dakar,NA,NA,Département,Department,11,SN.DK.DK
SEN.1.2_1,SEN,Senegal,SEN.1_1,Dakar,NA,Guédiawaye,NA,NA,Département,Department,14,SN.DK.GD
SEN.1.3_1,SEN,Senegal,SEN.1_1,Dakar,NA,Pikine,NA,NA,Département,Department,12,SN.DK.PK
SEN.1.4_1,SEN,Senegal,SEN.1_1,Dakar,NA,Rufisque,Rufisque-Bargny,NA,Département,Department,13,SN.DK.RF
SEN.2.1_1,SEN,Senegal,SEN.2_1,Diourbel,NA,Bambey,NA,NA,Département,Department,31,SN.DB.BB
SEN.2.2_1,SEN,Senegal,SEN.2_1,Diourbel,NA,Diourbel,NA,NA,Département,Department,32,SN.DB.DB
SEN.2.3_1,SEN,Senegal,SEN.2_1,Diourbel,NA,Mbacké,M'Back,NA,Département,Department,33,SN.DB.MK
SEN.3.1_1,SEN,Senegal,SEN.3_1,Fatick,NA,Fatick,NA,NA,Département,Department,91,SN.FK.FK
SEN.3.2_1,SEN,Senegal,SEN.3_1,Fatick,NA,Foundiougne,NA,NA,Département,Department,92,SN.FK.FD
SEN.3.3_1,SEN,Senegal,SEN.3_1,Fatick,NA,Gossas,NA,NA,Département,Department,93,SN.FK.GS
SEN.4.1_1,SEN,Senegal,SEN.4_1,Kaffrine,NA,Birkilane,NA,NA,Département,Department,122,SN.KF.BR
SEN.4.2_1,SEN,Senegal,SEN.4_1,Kaffrine,NA,Kaffrine,NA,NA,Département,Department,121,SN.KF.KF
SEN.4.3_1,SEN,Senegal,SEN.4_1,Kaffrine,NA,Koungheul,NA,NA,Département,Department,123,SN.KC.KU
SEN.4.4_1,SEN,Senegal,SEN.4_1,Kaffrine,NA,MalèmeHodar,NA,NA,Département,Department,124,SN.KF.MH
SEN.5.1_1,SEN,Senegal,SEN.5_1,Kaolack,NA,Guinguinéo,NA,NA,Département,Department,63,SN.KC.GG
SEN.5.2_1,SEN,Senegal,SEN.5_1,Kaolack,NA,Kaolack,NA,NA,Département,Department,61,SN.KC.KL
SEN.5.3_1,SEN,Senegal,SEN.5_1,Kaolack,NA,NioroduRip,Nioro-Du-Rip|Nioro,NA,Département,Department,62,SN.KC.NR
SEN.6.1_1,SEN,Senegal,SEN.6_1,Kédougou,NA,Kédougou,NA,NA,Département,Department,131,SN.KG.KG
SEN.6.2_1,SEN,Senegal,SEN.6_1,Kédougou,NA,Salémata,NA,NA,Département,Department,132,SN.KG.SM
SEN.6.3_1,SEN,Senegal,SEN.6_1,Kédougou,NA,Saraya,NA,NA,Département,Department,133,SN.KG.SY
SEN.7.1_1,SEN,Senegal,SEN.7_1,Kolda,NA,Kolda,NA,NA,Département,Department,101,SN.KO.KD
SEN.7.2_1,SEN,Senegal,SEN.7_1,Kolda,NA,MédinaYoroFoula,NA,NA,Département,Department,103,SN.KO.YF
SEN.7.3_1,SEN,Senegal,SEN.7_1,Kolda,NA,Vélingara,NA,NA,Département,Department,102,SN.KO.VL
SEN.8.1_1,SEN,Senegal,SEN.8_1,Louga,NA,Kébémer,NA,NA,Département,Department,81,SN.LG.KB
SEN.8.2_1,SEN,Senegal,SEN.8_1,Louga,NA,Linguère,NA,NA,Département,Department,82,SN.LG.LN
SEN.8.3_1,SEN,Senegal,SEN.8_1,Louga,NA,Louga,NA,NA,Département,Department,83,SN.LG.LG
SEN.9.1_1,SEN,Senegal,SEN.9_1,Matam,NA,Kanel,NA,NA,Département,Department,112,SN.MT.KN
SEN.9.2_1,SEN,Senegal,SEN.9_1,Matam,NA,Matam,NA,NA,Département,Department,111,SN.MT.MT
SEN.9.3_1,SEN,Senegal,SEN.9_1,Matam,NA,RanérouFerlo,Ranerou,NA,Département,Department,113,SN.MT.RN
SEN.10.1_1,SEN,Senegal,SEN.10_1,Saint-Louis,NA,Dagana,NA,NA,Département,Department,41,SN.ST.DG
SEN.10.2_1,SEN,Senegal,SEN.10_1,Saint-Louis,NA,Podor,NA,NA,Département,Department,42,SN.ST.PD
SEN.10.3_1,SEN,Senegal,SEN.10_1,Saint-Louis,NA,Saint-Louis,NA,NA,Département,Department,43,SN.ST.SL
SEN.11.1_1,SEN,Senegal,SEN.11_1,Sédhiou,NA,Bounkiling,NA,NA,Département,Department,142,SN.SD.BL
SEN.11.2_1,SEN,Senegal,SEN.11_1,Sédhiou,NA,Goudomp,NA,NA,Département,Department,143,SN.SD.GP
SEN.11.3_1,SEN,Senegal,SEN.11_1,Sédhiou,NA,Sédhiou,NA,NA,Département,Department,141,SN.SD.SD
SEN.12.1_1,SEN,Senegal,SEN.12_1,Tambacounda,NA,Bakel,NA,NA,Département,Department,51,SN.TB.BK
SEN.12.2_1,SEN,Senegal,SEN.12_1,Tambacounda,NA,Goudiry,NA,NA,Département,Department,53,SN.TB.GY
