GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
SOM.1.1_1,SOM,Somalia,SOM.1_1,Awdal,NA,Baki,NA,NA,District,District,NA,SO.AW.BA
SOM.1.2_1,SOM,Somalia,SOM.1_1,Awdal,NA,Boorama,Boramo|Borama,NA,District,District,NA,SO.AW.BO
SOM.1.3_1,SOM,Somalia,SOM.1_1,Awdal,NA,Lughaya,Lughaye,NA,District,District,NA,SO.AW.LU
SOM.1.4_1,SOM,Somalia,SOM.1_1,Awdal,NA,Zeylac,Saylac,NA,District,District,NA,SO.AW.ZE
SOM.2.1_1,SOM,Somalia,SOM.2_1,Bakool,NA,CeelBarde,CeelBarde|ElBarde,NA,District,District,NA,SO.BK.CB
SOM.2.2_1,SOM,Somalia,SOM.2_1,Bakool,NA,RabDhuure,NA,NA,District,District,NA,NA
SOM.2.3_1,SOM,Somalia,SOM.2_1,Bakool,NA,Tiyeeglow,Tiyeglow,NA,District,District,NA,SO.BK.TI
SOM.2.4_1,SOM,Somalia,SOM.2_1,Bakool,NA,Wajid,NA,NA,District,District,NA,SO.BK.WA
SOM.2.5_1,SOM,Somalia,SOM.2_1,Bakool,NA,Xudur,Hudur,NA,District,District,NA,SO.BK.HU
SOM.3.1_1,SOM,Somalia,SOM.3_1,Banaadir,NA,Mogadisho,Mogadishu,NA,District,District,NA,NA
SOM.4.1_1,SOM,Somalia,SOM.4_1,Bari,NA,Bander-Beyla,BenderBayla|BanderBeila,NA,District,District,NA,SO.BR.BB
SOM.4.2_1,SOM,Somalia,SOM.4_1,Bari,NA,Bosaaso,Bosaso,NA,District,District,NA,SO.BR.BO
SOM.4.3_1,SOM,Somalia,SOM.4_1,Bari,NA,Calawla,Alula,NA,District,District,NA,SO.BR.AL
SOM.4.4_1,SOM,Somalia,SOM.4_1,Bari,NA,Iskushuban,Iskhushuban,NA,District,District,NA,SO.BR.IS
SOM.4.5_1,SOM,Somalia,SOM.4_1,Bari,NA,Qandala,Kandala,NA,District,District,NA,SO.BR.QA
SOM.4.6_1,SOM,Somalia,SOM.4_1,Bari,NA,Qardho,Gardo,NA,District,District,NA,SO.BR.QR
SOM.5.1_1,SOM,Somalia,SOM.5_1,Bay,NA,Baydhabo,Baydhaba|Baidoa,NA,District,District,NA,SO.BY.BA
SOM.5.2_1,SOM,Somalia,SOM.5_1,Bay,NA,BuurXakaba,Burhakaba|BurHacaba|Buurhakab,NA,District,District,NA,SO.BY.BU
SOM.5.3_1,SOM,Somalia,SOM.5_1,Bay,NA,Diinsoor,Dinsor,NA,District,District,NA,SO.BY.DI
SOM.5.4_1,SOM,Somalia,SOM.5_1,Bay,NA,QansaxDheere,Qansadhere,NA,District,District,NA,SO.BY.QA
SOM.6.1_1,SOM,Somalia,SOM.6_1,Galguduud,NA,Caabudwaaq,Cabudwaaq,NA,District,District,NA,SO.GA.CB
SOM.6.2_1,SOM,Somalia,SOM.6_1,Galguduud,NA,Cadaado,Adado,NA,District,District,NA,SO.GA.CD
SOM.6.3_1,SOM,Somalia,SOM.6_1,Galguduud,NA,CeelBuur,Ceelbur|ElBur,NA,District,District,NA,SO.GA.CE
SOM.6.4_1,SOM,Somalia,SOM.6_1,Galguduud,NA,CeelDheer,Ceeldeer|ElDere,NA,District,District,NA,SO.GA.CR
SOM.6.5_1,SOM,Somalia,SOM.6_1,Galguduud,NA,Dhuusamareeb,Dhusa-Mareb,NA,District,District,NA,SO.GA.DM
SOM.7.1_1,SOM,Somalia,SOM.7_1,Gedo,NA,Baar-Dheere,Bardhere|Baardheere|Bardera,NA,District,District,NA,SO.GE.BA
SOM.7.2_1,SOM,Somalia,SOM.7_1,Gedo,NA,BeledXaawo,Beletxawa|Bula-hawa|BeletHawa,NA,District,District,NA,SO.GE.BE
SOM.7.3_1,SOM,Somalia,SOM.7_1,Gedo,NA,CeelWaaq,Ceelwaaq|ElWak|ElWaq,NA,District,District,NA,SO.GE.CE
SOM.7.4_1,SOM,Somalia,SOM.7_1,Gedo,NA,Dolow,Doolow,NA,District,District,NA,SO.GE.DO
SOM.7.5_1,SOM,Somalia,SOM.7_1,Gedo,NA,Garbahaaray,Garbaharey|Garbahaarreey,NA,District,District,NA,SO.GE.GA
SOM.7.6_1,SOM,Somalia,SOM.7_1,Gedo,NA,Luuk,Luuq|Lugh,NA,District,District,NA,SO.GE.LU
SOM.8.1_1,SOM,Somalia,SOM.8_1,Hiiraan,NA,BeledWeyn,Beletweyne|Beledweyne,NA,District,District,NA,SO.HI.BW
SOM.8.2_1,SOM,Somalia,SOM.8_1,Hiiraan,NA,BuuloBurdo,Bulo-Burte|Bula-Brif|Buuloburd,NA,District,District,NA,SO.HI.BB
SOM.8.3_1,SOM,Somalia,SOM.8_1,Hiiraan,NA,Jalalaqsi,NA,NA,District,District,NA,SO.HI.JQ
SOM.9.1_1,SOM,Somalia,SOM.9_1,JubbadaDhexe,NA,Bu'aale,Buale,NA,District,District,NA,SO.JD.BU
SOM.9.2_1,SOM,Somalia,SOM.9_1,JubbadaDhexe,NA,Jilib,NA,NA,District,District,NA,SO.JD.JI
SOM.9.3_1,SOM,Somalia,SOM.9_1,JubbadaDhexe,NA,Saakow,Sakow,NA,District,District,NA,SO.JD.SA
SOM.10.1_1,SOM,Somalia,SOM.10_1,JubbadaHoose,NA,Afmadow,NA,NA,District,District,NA,SO.JH.AF
SOM.10.2_1,SOM,Somalia,SOM.10_1,JubbadaHoose,NA,Badhaadhe,Badhadhe,NA,District,District,NA,SO.JH.BA
SOM.10.3_1,SOM,Somalia,SOM.10_1,JubbadaHoose,NA,Jamaame,Jamame,NA,District,District,NA,SO.JH.JA
SOM.10.4_1,SOM,Somalia,SOM.10_1,JubbadaHoose,NA,Kismaayo,Kismayo,NA,District,District,NA,SO.JH.KI
SOM.11.1_1,SOM,Somalia,SOM.11_1,Mudug,NA,Gaalkacayo,Galkacyo|Galkayo,NA,District,District,NA,SO.MU.GA
SOM.11.2_1,SOM,Somalia,SOM.11_1,Mudug,NA,Goldogob,NA,NA,District,District,NA,SO.MU.GO
SOM.11.3_1,SOM,Somalia,SOM.11_1,Mudug,NA,Hobyo,NA,NA,District,District,NA,SO.MU.HO
SOM.11.4_1,SOM,Somalia,SOM.11_1,Mudug,NA,Jariiban,Jeriban|Jarban,NA,District,District,NA,SO.MU.JE
SOM.11.5_1,SOM,Somalia,SOM.11_1,Mudug,NA,Xarardheere,Haradhere|Harardheere,NA,District,District,NA,SO.MU.HA
SOM.12.1_1,SOM,Somalia,SOM.12_1,Nugaal,NA,Burtinle,NA,NA,District,District,NA,SO.NU.BU
SOM.12.2_1,SOM,Somalia,SOM.12_1,Nugaal,NA,Eyl,NA,NA,District,District,NA,SO.NU.EY
SOM.12.3_1,SOM,Somalia,SOM.12_1,Nugaal,NA,Garoowe,Garowe,NA,District,District,NA,SO.NU.GA
SOM.13.1_1,SOM,Somalia,SOM.13_1,Sanaag,NA,Badhan,LasQoray,NA,District,District,NA,SO.SA.BA
SOM.13.2_1,SOM,Somalia,SOM.13_1,Sanaag,NA,Ceel-Afwein,Ceelafyeyn|CeelAfwayn|ElAfwe,NA,District,District,NA,SO.SA.CL
SOM.13.3_1,SOM,Somalia,SOM.13_1,Sanaag,NA,Ceerigaabo,Ceerigabo|Erigavo|Erigabo,NA,District,District,NA,SO.SA.CR
SOM.14.1_1,SOM,Somalia,SOM.14_1,ShabeellahaDhexe,NA,Aadan,AdanYabal|AdenYabal,NA,District,District,NA,SO.SD.AY
SOM.14.2_1,SOM,Somalia,SOM.14_1,ShabeellahaDhexe,NA,Balcad,Ballcad|Balad,NA,District,District,NA,SO.SD.BA
SOM.14.3_1,SOM,Somalia,SOM.14_1,ShabeellahaDhexe,NA,Cadale,Caadale|Adale,NA,District,District,NA,SO.SD.CA
SOM.14.4_1,SOM,Somalia,SOM.14_1,ShabeellahaDhexe,NA,Jawhar,Jowhar,NA,District,District,NA,SO.SD.JO
SOM.15.1_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Afgooye,Afgoi|Afgoye,NA,District,District,NA,NA
SOM.15.2_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Baraawe,Braawe,NA,District,District,NA,SO.SH.BR
SOM.15.3_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Kuntuwaaray,Kurtunwaarey|KurtunWarrey,NA,District,District,NA,SO.SH.KU
SOM.15.4_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Marka,MarkAfgooye,NA,District,District,NA,SO.SH.MA
SOM.15.5_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Qoryooley,Qoryoyley|Qoryoley,NA,District,District,NA,SO.SH.QO
SOM.15.6_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,Sablale,Sablaale,NA,District,District,NA,SO.SH.SA
SOM.15.7_1,SOM,Somalia,SOM.15_1,ShabeellahaHoose,NA,WanlaWeyn,Wanlaweyne|WanleWeyne,NA,District,District,NA,SO.SH.WA
SOM.16.1_1,SOM,Somalia,SOM.16_1,Sool,NA,Caynabo,Ainabo|Caynaba|Aynabo,NA,District,District,NA,SO.SO.CA
SOM.16.2_1,SOM,Somalia,SOM.16_1,Sool,NA,Lascaanod,Lasanod,NA,District,District,NA,SO.SO.LA
SOM.16.3_1,SOM,Somalia,SOM.16_1,Sool,NA,Taleex,Telex|Taleh,NA,District,District,NA,SO.SO.TE
SOM.16.4_1,SOM,Somalia,SOM.16_1,Sool,NA,Xudun,Hudun,NA,District,District,NA,SO.NU.XU
SOM.17.1_1,SOM,Somalia,SOM.17_1,Togdheer,NA,Burao,Burco,NA,District,District,NA,SO.TO.BR
SOM.17.2_1,SOM,Somalia,SOM.17_1,Togdheer,NA,Buuhoodle,Buuhodle|Buhodle,NA,District,District,NA,SO.TO.BH
SOM.17.3_1,SOM,Somalia,SOM.17_1,Togdheer,NA,Oodweyne,Odwenyen|Oodwayne|Odweine,NA,District,District,NA,SO.TO.OD
SOM.17.4_1,SOM,Somalia,SOM.17_1,Togdheer,NA,Sheekh,Sheik|Sheikh,NA,District,District,NA,SO.TO.SH
SOM.18.1_1,SOM,Somalia,SOM.18_1,WoqooyiGalbeed,NA,Berbera,NA,NA,District,District,NA,SO.WO.BE
SOM.18.2_1,SOM,Somalia,SOM.18_1,WoqooyiGalbeed,NA,Gabiley,Gebiley,NA,District,District,NA,SO.WO.GE
SOM.18.3_1,SOM,Somalia,SOM.18_1,WoqooyiGalbeed,NA,Hargeysa,Hargeisa,NA,District,District,NA,SO.WO.HA
