,basic_info-date,basic_info-organisation_name,basic_info-organisation_other,geography-state_name,geography-region_name,geography-district_name,geography-community_name,plot_details-photo,plot_details-polygon,land_use_selection-project_name,land_use_selection-land_use,land_use_selection-intervention,halfmoons-halfmoon_details-halfmoon_type,halfmoons-halfmoon_details-date,halfmoons-halfmoon_details-total_halfmoons,halfmoons-halfmoon_details-size,halfmoons-halfmoon_details-length_decimal,halfmoons-halfmoon_details-width_decimal,halfmoons-halfmoon_details-depth_decimal,halfmoons-halfmoon_details_2-type_halfmoons,halfmoons-halfmoon_details_2-average_space,halfmoons-halfmoon_details_2-vertical_space,halfmoons-halfmoon_details_2-horizontal_space,halfmoons-halfmoon_details_2-manages,halfmoons-halfmoon_details_2-youth_manages,halfmoons-halfmoon_details_2-paid_unpaid_labor,swales-swales_details-type,swales-swales_details-date,swales-swales_details-total,swales-swales_details-average_size,swales-swales_details-length,swales-swales_details-width,swales-swales_details-depth,swales-swales_details-manages,swales-swales_details-youth_manages,swales-swales_details-paid_unpaid_labor,bunds-bunds_details-type,bunds-bunds_details-date,bunds-bunds_details-total,bunds-bunds_details-average_size,bunds-bunds_details-length,bunds-bunds_details-width,bunds-bunds_details-depth,bunds-bunds_details-manages,bunds-bunds_details-youth_manages,bunds-bunds_details-paid_unpaid_labor,terracing-terrace_details-type,terracing-terrace_details-date,terracing-terrace_details-total,terracing-terrace_details-average_size,terracing-terrace_details-length,terracing-terrace_details-width,terracing-terrace_details-depth,terracing-terrace_details-manages,terracing-terrace_details-youth_manages,terracing-terrace_details-paid_unpaid_labor,contour-contour_details-type,contour-contour_details-date,contour-contour_details-total,contour-contour_details-average_size,contour-contour_details-length,contour-contour_details-width,contour-contour_details-depth,contour-contour_details-manages,contour-contour_details-youth_manages,contour-contour_details-paid_unpaid_labor,keylines-keyline_details-type,keylines-keyline_details-date,keylines-keyline_details-total,keylines-keyline_details-average_size,keylines-keyline_details-length,keylines-keyline_details-width,keylines-keyline_details-depth,keylines-keyline_details-manages,keylines-keyline_details-youth_manages,keylines-keyline_details-paid_unpaid_labor,rock_dams-type,rock_dams-date,rock_dams-total,rock_dams-average_size,rock_dams-length,rock_dams-width,rock_dams-depth,rock_dams-manages,rock_dams-youth_manages,rock_dams-paid_unpaid_labor,rock_dams-trees_dams-planted_choice7,rock_dams-trees_dams-num_tree_species,rock_dams-trees_dams-num_trees_planted,rock_dams-trees_dams-num_tree_survived,rock_dams-trees_dams-dams_trees_species,rock_dams-trees_dams-other_dams_trees,rock_dams-grass_dams-num_grass_species,rock_dams-grass_dams-kg_grass_seeds,rock_dams-grass_dams-dams_grass_species,rock_dams-grass_dams-other_dams_grass,rock_dams-managements_dams-additional_management7,rock_dams-managements_dams-management_practices,rock_dams-managements_dams-crops_present7,rock_dams-managements_dams-crops_in_field7,rock_dams-managements_dams-other_crops,rock_dams-managements_dams-agricultural_field_state,rock_dams-gps-Latitude,rock_dams-gps-Longitude,rock_dams-gps-Altitude,rock_dams-gps-Accuracy,rock_dams-photo,plugging-plug_details-type,plugging-plug_details-date,plugging-plug_details-total,plugging-plug_details-average_size,plugging-plug_details-length,plugging-plug_details-width,plugging-plug_details-depth,plugging-plug_details-manages,plugging-plug_details-youth_manages,plugging-plug_details-paid_unpaid_labor,gabions-gabions_details-type,gabions-gabions_details-date,gabions-gabions_details-total,gabions-gabions_details-average_size,gabions-gabions_details-length,gabions-gabions_details-width,gabions-gabions_details-depth,gabions-gabions_details-manages,gabions-gabions_details-youth_manages,gabions-gabions_details-paid_unpaid_labor,basins-basin_details-type,basins-basin_details-date,basins-basin_details-total,basins-basin_details-average_size,basins-basin_details-length,basins-basin_details-width,basins-basin_details-depth,basins-basin_details-average_space,basins-basin_details-vertical_space,basins-basin_details-horizontal_space,basins-basin_details-manages,basins-basin_details-youth_manages,basins-basin_details-paid_unpaid_labor,invasive_removal-removal_date,invasive_removal-invasive_species,invasive_removal-other_invasive_species,invasive_removal-severity,invasive_removal-removal_methods,invasive_removal-removal_frequency,invasive_removal-tree_species,invasive_removal-other_basins_trees,invasive_removal-grass_species,invasive_removal-other_basins_grass,waterpoints-wp_ownership,waterpoints-wp_type,waterpoints-wp_depth,waterpoints-wp_avg_distance,waterpoints-wp_availability,waterpoints-wp_contami_sources,waterpoints-wp_protection,waterpoints-wp_usage,waterpoints-wp_condition,waterpoints-wp_facilities,waterpoints-gps-Latitude,waterpoints-gps-Longitude,waterpoints-gps-Altitude,waterpoints-gps-Accuracy,waterpoints-photo,geometry,area_m2,area_ha,basic_info-name
0,15/05/2025,concern,,jubaland.,gedo,baardhere,buulo dhato,1749537712661.jpg,2.352898 42.2954533 70.3623046875 7.324;2.353665 42.2936764 69.78131103515625 7.006;2.3551777 42.2942905 75.74468994140625 9.566;2.3548914 42.2961507 71.626708984375 13.127;2.352898 42.2954533 70.3623046875 7.324,brcis3,rangeland,soil_bunds,,,,,,,,,,,,,,,,,,,,,,,,,new,14/05/2025,15.0,,60.0,2.0,1.5,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.29545 2.352898, 42.29368 2.353665, 42.29429 2.355178, 42.29615 2.354891, 42.29545 2.352898))",43376.95818,4.337695818,Abdullahi
1,29/05/2025,irc,,galmudug,mudug,galkacyo,dhardhar,1748511134226.jpg,6.6435158 46.9506466 320.0 2.0;6.6436798 46.9505325 318.0 1.833;6.6438916 46.9504123 318.0 1.8;6.6440727 46.9503118 318.0 2.0;6.6442635 46.9502108 317.0 2.0;6.6443276 46.9500127 317.0 2.0;6.6443107 46.9498081 314.0 2.0;6.6443776 46.9496747 314.0 2.0;6.6445992 46.9496525 312.0 2.0;6.6447936 46.9496018 312.0 2.0;6.6449931 46.9494875 312.0 2.166;6.6451784 46.949371 314.0 2.25;6.6453686 46.9492556 313.0 2.5;6.6455659 46.9491384 315.0 2.5;6.6457562 46.9489727 315.0 2.5;6.6458864 46.9488076 314.0 2.5;6.6460139 46.9486046 314.0 2.583;6.6461473 46.9483912 314.0 2.5;6.6462801 46.9482114 313.0 2.4;6.6464162 46.9480184 316.0 2.7;6.6465397 46.9478137 316.0 2.583;6.6466683 46.9476515 319.0 2.75;6.6467962 46.9474568 318.0 2.75;6.6466169 46.9473474 320.0 2.0;6.6464597 46.9472191 320.0 2.0;6.6462549 46.9470791 321.0 2.0;6.6460703 46.9469306 322.0 2.333;6.6458958 46.9468077 322.0 2.416;6.6456747 46.9466763 324.0 2.333;6.6454837 46.9465352 324.0 2.166;6.6453053 46.9464193 323.0 2.25;6.645103 46.9462825 322.0 2.3;6.6449093 46.9461425 324.0 2.416;6.6447395 46.9460333 323.0 2.416;6.6445584 46.9458854 324.0 2.416;6.6443588 46.945738 324.0 2.333;6.6441868 46.9456527 324.0 2.416;6.6439745 46.9455094 325.0 2.5;6.6438664 46.9456636 326.0 2.333;6.6437506 46.9458388 326.0 2.2;6.6436394 46.9460059 326.0 2.333;6.6435112 46.9462242 325.0 2.4;6.6433882 46.9463794 326.0 2.333;6.6432539 46.946582 325.0 2.25;6.643121 46.9467729 326.0 2.0;6.6430157 46.9469394 326.0 2.2;6.6428907 46.947108 325.0 2.416;6.6427845 46.9472933 326.0 2.4;6.642658 46.9474484 326.0 2.416;6.6425516 46.9476396 325.0 2.5;6.6424387 46.9478116 325.0 2.5;6.6423379 46.9479751 326.0 2.083;6.642217 46.9481769 326.0 2.5;6.6420779 46.9483736 325.0 2.5;6.6419696 46.9485386 324.0 2.5;6.6418522 46.948725 325.0 2.833;6.6417415 46.9488885 323.0 2.9;6.641877 46.9492222 322.0 3.0;6.6420459 46.9493658 322.0 3.0;6.64218 46.949503 319.0 2.916;6.6423532 46.9496678 321.0 3.0;6.642807 46.9501417 320.0 2.916;6.6429506 46.9503008 322.0 2.75;6.6430664 46.9504316 322.0 3.0;6.64321 46.9505885 318.0 2.583;6.6434387 46.9506433 319.0 3.0;6.6435158 46.9506466 320.0 2.0,brcis3,rangeland,halfmoons,new,15/03/2025,150.0,,5.0,2.5,40.0,demi_lunes,,7.5,7.5,male,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((46.95065 6.643516, 46.95053 6.64368, 46.95041 6.643892, 46.95031 6.644073, 46.95021 6.644264, 46.95001 6.644328, 46.94981 6.644311, 46.94967 6.644378, 46.94965 6.644599, 46.9496 6.644794, 46.94949 6.644993, 46.94937 6.645178, 46.94926 6.645369, 46.94914 6.645566, 46.94897 6.645756, 46.94881 6.645886, 46.9486 6.646014, 46.94839 6.646147, 46.94821 6.64628, 46.94802 6.646416, 46.94781 6.64654, 46.94765 6.646668, 46.94746 6.646796, 46.94735 6.646617, 46.94722 6.64646, 46.94708 6.646255, 46.94693 6.64607, 46.94681 6.645896, 46.94668 6.645675, 46.94654 6.645484, 46.94642 6.645305, 46.94628 6.645103, 46.94614 6.644909, 46.94603 6.64474, 46.94589 6.644558, 46.94574 6.644359, 46.94565 6.644187, 46.94551 6.643974, 46.94566 6.643866, 46.94584 6.643751, 46.94601 6.643639, 46.94622 6.643511, 46.94638 6.643388, 46.94658 6.643254, 46.94677 6.643121, 46.94694 6.643016, 46.94711 6.642891, 46.94729 6.642785, 46.94745 6.642658, 46.94764 6.642552, 46.94781 6.642439, 46.94798 6.642338, 46.94818 6.642217, 46.94837 6.642078, 46.94854 6.64197, 46.94873 6.641852, 46.94889 6.641742, 46.94922 6.641877, 46.94937 6.642046, 46.9495 6.64218, 46.94967 6.642353, 46.95014 6.642807, 46.9503 6.642951, 46.95043 6.643066, 46.95059 6.64321, 46.95064 6.643439, 46.95065 6.643516))",168417.8371,16.84178371,Ahmed Omar Hassan
2,17/05/2025,kaalo,,puntland,mudug.,galkacyo.,gacmo fale,1747480392579.jpg,7.0243358 47.7520651 288.0 7.5; 7.024208 47.7518654 289.0 3.149; 7.0241646 47.7519724 289.0 3.816; 7.0243358 47.7520651 288.0 7.5,brcis3,rangeland,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,28/12/2024,3.0,,2.0,1.0,2.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((47.75207 7.024336, 47.75187 7.024208, 47.75197 7.024165, 47.75207 7.024336))",130.7447393,0.013074474,Abdijalil
3,17/05/2025,kaalo,,puntland,mudug.,galkacyo.,gacmo fale,1747479455200.jpg,7.0367036 47.7713796 285.0 3.0;7.036829 47.7715316 286.0 3.883;7.0367811 47.7715564 286.0 3.389;7.0367036 47.7713796 285.0 3.0,brcis3,rangeland,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,28/12/2024,3.0,,2.0,1.0,1.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((47.77138 7.036704, 47.77153 7.036829, 47.77156 7.036781, 47.77138 7.036704))",66.89801639,0.006689802,Abdijalil
4,17/05/2025,kaalo,,puntland,mudug.,galkacyo.,gacmo fale,1747478430265.jpg,7.0382631 47.7670073 281.0 3.682; 7.0383558 47.7669191 283.0 3.72; 7.0390685 47.7684877 285.0 3.255; 7.0382631 47.7670073 281.0 3.682,brcis3,agriculture,gabions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,28/12/2024,104.0,,2.0,1.0,2.0,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((47.76701 7.038263, 47.76692 7.038356, 47.76849 7.039068, 47.76701 7.038263))",1283.520921,0.128352092,Abdijalil said
5,7/5/2025,irc,,galmudug,mudug,galkacyo,dhardhar,1746599498569.jpg,6.6427865 46.9503101 310.1 1.3;6.6427397 46.9502708 311.3 1.793;6.6426175 46.950146 310.40000000000003 3.0;6.6425101 46.9500414 311.3 3.0;6.6423979 46.9499355 310.70000000000005 3.0;6.6423288 46.9498459 309.1 3.0;6.6422693 46.9498078 307.6 3.0;6.6421456 46.9497034 309.0 3.0;6.6420686 46.9496107 309.90000000000003 3.0;6.6419538 46.9495057 310.1 3.0;6.6418023 46.9493502 310.70000000000005 3.0;6.6416542 46.9492133 309.8 3.0;6.6415101 46.9490689 311.6 3.0;6.6413917 46.9489841 309.90000000000003 3.0;6.6413213 46.9490827 309.1 3.0;6.6412126 46.9492393 310.90000000000003 3.0;6.6410933 46.9494181 309.8 3.0;6.6411748 46.9495518 310.8 3.0;6.6412962 46.9497038 310.3 3.0;6.6413529 46.9497738 310.1 3.0;6.6414692 46.9499255 310.40000000000003 3.0;6.6415738 46.950073 310.70000000000005 3.0;6.641698 46.9502346 309.8 3.0;6.6418187 46.9503874 309.70000000000005 3.0;6.6418423 46.9504066 309.90000000000003 3.0;6.6419552 46.9505578 310.1 3.0;6.6420894 46.9507154 309.70000000000005 3.0;6.642201 46.9508778 310.8 3.0;6.6423483 46.9507245 311.8 3.0;6.642496 46.9505855 311.1 3.0;6.6426341 46.9504566 311.8 3.0;6.6427477 46.9503539 311.6 3.0;6.6427711 46.950331 311.8 3.0;6.6427865 46.9503101 310.1 1.3,brcis3,communal_land,halfmoons,new,15/05/2025,180.0,,5.0,2.5,50.0,demi_lunes,,7.5,5.0,male,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((46.95031 6.642786, 46.95027 6.64274, 46.95015 6.642618, 46.95004 6.64251, 46.94994 6.642398, 46.94985 6.642329, 46.94981 6.642269, 46.9497 6.642146, 46.94961 6.642069, 46.94951 6.641954, 46.94935 6.641802, 46.94921 6.641654, 46.94907 6.64151, 46.94898 6.641392, 46.94908 6.641321, 46.94924 6.641213, 46.94942 6.641093, 46.94955 6.641175, 46.9497 6.641296, 46.94977 6.641353, 46.94993 6.641469, 46.95007 6.641574, 46.95023 6.641698, 46.95039 6.641819, 46.95041 6.641842, 46.95056 6.641955, 46.95072 6.642089, 46.95088 6.642201, 46.95072 6.642348, 46.95059 6.642496, 46.95046 6.642634, 46.95035 6.642748, 46.95033 6.642771, 46.95031 6.642786))",15528.79462,1.552879462,Maria Abdirahman Ali
6,6/5/2025,irc,,galmudug,mudug,galkacyo,dhardhar,1746532634991.jpg,6.6514281 46.9264623 309.0 7.833;6.6514948 46.926457 316.0 2.38;6.6516772 46.926446 318.0 2.316;6.651778 46.9264377 317.0 2.38;6.651948 46.9264147 319.0 2.28;6.6521508 46.9263863 321.0 2.38;6.6523469 46.9263628 321.0 2.38;6.6524931 46.9263556 320.0 2.316;6.6526859 46.9263277 321.0 2.316;6.6528936 46.9263071 321.0 2.38;6.6530636 46.9262831 322.0 2.316;6.6532716 46.9262469 321.0 2.316;6.6534731 46.9262218 321.0 2.38;6.653641 46.9261973 321.0 2.08;6.6538445 46.9261723 319.0 2.28;6.6540471 46.9261441 319.0 2.38;6.6542244 46.9261217 318.0 2.316;6.6544386 46.9260928 319.0 2.38;6.6546394 46.9260635 319.0 2.316;6.6548222 46.9260321 319.0 2.38;6.6550299 46.926028 318.0 2.38;6.6552391 46.9259801 318.0 2.233;6.6554134 46.925953 317.0 2.38;6.6554412 46.9260398 319.0 2.233;6.6553898 46.9262381 319.0 2.28;6.655322 46.9264254 317.0 2.233;6.6552517 46.9266383 318.0 2.316;6.6551833 46.9268638 318.0 2.38;6.655136 46.9270228 318.0 2.38;6.655067 46.9272242 317.0 2.316;6.6549976 46.9274451 319.0 2.38;6.6549363 46.9276165 319.0 2.316;6.6548893 46.9278145 316.0 2.38;6.6548116 46.9280362 320.0 2.38;6.654754 46.9282121 320.0 2.38;6.6546913 46.9284176 320.0 2.38;6.6546241 46.9286403 318.0 2.316;6.6545522 46.9288123 317.0 2.316;6.6544989 46.9290094 318.0 2.28;6.6544346 46.9292385 319.0 2.38;6.6543793 46.9294198 319.0 2.316;6.6543027 46.9296249 321.0 2.68;6.6542379 46.929833 318.0 2.38;6.6541789 46.9300203 318.0 2.38;6.6541202 46.930237 319.0 2.38;6.6539189 46.9302464 319.0 2.38;6.6537363 46.9302672 317.0 2.733;6.6535117 46.9302754 318.0 2.68;6.6532929 46.9302979 319.0 2.78;6.6530978 46.9303248 319.0 2.78;6.6528721 46.9303271 317.0 2.733;6.652645 46.9303451 318.0 2.78;6.6524576 46.9303626 318.0 2.78;6.6522191 46.9303823 319.0 2.733;6.6520094 46.9304073 317.0 2.78;6.6518235 46.9304262 317.0 2.78;6.6516077 46.9304429 318.0 2.733;6.6513881 46.9304697 318.0 2.65;6.6512308 46.9304925 319.0 2.78;6.6510301 46.9304942 318.0 2.78;6.650963 46.930411 318.0 2.58;6.6509798 46.9302173 316.0 2.733;6.6510106 46.9300074 317.0 2.65;6.651034 46.9297914 316.0 2.58;6.6510501 46.9295958 317.0 2.65;6.6510631 46.9293731 317.0 2.78;6.6510889 46.9291515 316.0 2.68;6.6511172 46.9289602 317.0 2.68;6.6511594 46.9287553 317.0 2.68;6.6511601 46.9285451 317.0 2.68;6.6511741 46.9283637 316.0 2.566;6.6512048 46.9281431 316.0 2.78;6.6512314 46.9279393 315.0 2.566;6.65125 46.9277531 315.0 2.48;6.6512776 46.9275354 315.0 2.38;6.6513084 46.9273273 316.0 2.38;6.6513229 46.9271505 316.0 2.316;6.6513635 46.926924 316.0 2.65;6.6513941 46.9267427 315.0 2.65;6.6513974 46.9265612 317.0 2.78;6.6514098 46.9264782 316.0 2.38;6.6514281 46.9264623 309.0 7.833,brcis3,communal_land,halfmoons water_points invasive_removal,new,15/03/2025,365.0,,5.0,2.5,50.0,demi_lunes,,7.5,2.5,male,no,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2025,other,There is no invasive trees species,less_25,manual,There is removal activity conducted sofar.,other,This activity not yet conducted,other,,private/individual communal/village,borehole,168.0,2000_to_5000m,all_year,not_known,fenced well_covered,drinking,funtional,generator pump solar_panels,6.653354,46.9262962,324.0,4.44,1746539948469.jpg,"POLYGON ((46.92646 6.651428, 46.92646 6.651495, 46.92645 6.651677, 46.92644 6.651778, 46.92641 6.651948, 46.92639 6.652151, 46.92636 6.652347, 46.92636 6.652493, 46.92633 6.652686, 46.92631 6.652894, 46.92628 6.653064, 46.92625 6.653272, 46.92622 6.653473, 46.9262 6.653641, 46.92617 6.653844, 46.92614 6.654047, 46.92612 6.654224, 46.92609 6.654439, 46.92606 6.654639, 46.92603 6.654822, 46.92603 6.65503, 46.92598 6.655239, 46.92595 6.655413, 46.92604 6.655441, 46.92624 6.65539, 46.92643 6.655322, 46.92664 6.655252, 46.92686 6.655183, 46.92702 6.655136, 46.92722 6.655067, 46.92745 6.654998, 46.92762 6.654936, 46.92781 6.654889, 46.92804 6.654812, 46.92821 6.654754, 46.92842 6.654691, 46.92864 6.654624, 46.92881 6.654552, 46.92901 6.654499, 46.92924 6.654435, 46.92942 6.654379, 46.92962 6.654303, 46.92983 6.654238, 46.93002 6.654179, 46.93024 6.65412, 46.93025 6.653919, 46.93027 6.653736, 46.93028 6.653512, 46.9303 6.653293, 46.93032 6.653098, 46.93033 6.652872, 46.93035 6.652645, 46.93036 6.652458, 46.93038 6.652219, 46.93041 6.652009, 46.93043 6.651823, 46.93044 6.651608, 46.93047 6.651388, 46.93049 6.651231, 46.93049 6.65103, 46.93041 6.650963, 46.93022 6.65098, 46.93001 6.651011, 46.92979 6.651034, 46.9296 6.65105, 46.92937 6.651063, 46.92915 6.651089, 46.92896 6.651117, 46.92876 6.651159, 46.92855 6.65116, 46.92836 6.651174, 46.92814 6.651205, 46.92794 6.651231, 46.92775 6.65125, 46.92754 6.651278, 46.92733 6.651308, 46.92715 6.651323, 46.92692 6.651364, 46.92674 6.651394, 46.92656 6.651397, 46.92648 6.65141, 46.92646 6.651428))",178793.1647,17.87931647,Ahmed Omar Hassan
7,24/04/2025,nrc,,galmudug.,galgaduud.,dhuusamareeb,dayah,1745493196729.jpg,,RAF,rangeland,halfmoons,new,20/02/2025,3700.0,,5.0,2.5,30.0,demi_lunes,2.5,2.5,2.5,male,,paid,new,24/04/2025,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON((46.3483324 5.5963274,46.3525661 5.5913153,46.3542909 5.5929268,46.3529103 5.5934485,46.354019 5.5950439,46.3501547 5.5985271,46.348324 5.5963424,46.3483324 5.5963274))",2972.548666,24.45,
8,23/04/2025,nrc,,jubaland,lower_juba,kismayo,yontoy,1745414410311.jpg,-0.123153 42.5640611 -24.0 4.75;-0.1241652 42.5599337 -23.0 9.0;-0.1329541 42.5558041 -22.0 4.409;-0.134505 42.5571859 -22.0 3.778;-0.134445 42.5603682 -18.0 3.529;-0.1328605 42.5645128 -27.0 3.871;-0.1316382 42.5660999 -25.0 3.323;-0.1300895 42.5685828 -23.0 7.366;-0.1295917 42.5695227 -24.0 3.856;-0.1260475 42.5680541 -20.0 3.06;-0.1260433 42.5680605 -20.0 3.224;-0.123153 42.5640611 -24.0 4.75,brcis3,agriculture,swales,,,,,,,,,,,,,,,existing,10/4/2021,2.0,,4000.0,1.6,0.6,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.56406 -0.123153, 42.55993 -0.1241652, 42.5558 -0.1329541, 42.55719 -0.134505, 42.56037 -0.134445, 42.56451 -0.1328605, 42.5661 -0.1316382, 42.56858 -0.1300895, 42.56952 -0.1295917, 42.56805 -0.1260475, 42.56806 -0.1260433, 42.56406 -0.123153))",1194168.324,119.4168324,Ahmed Ibrahim
9,23/04/2025,nrc,,jubaland,lower_juba,kismayo,yontoy,1745413267551.jpg,-0.1184583 42.5671195 -23.0 8.0;-0.118491 42.5671339 -30.0 2.5;-0.1203504 42.5652828 -28.0 3.552;-0.1203443 42.5652578 -27.0 3.361;-0.1184011 42.5673672 -24.0 3.904;-0.1184583 42.5671195 -23.0 8.0,brcis3,rangeland,soil_bunds,,,,,,,,,,,,,,,,,,,,,,,,,existing,15/04/1976,1.0,,375.0,3.0,1.5,both,yes,paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((42.56712 -0.1184583, 42.56713 -0.118491, 42.56528 -0.1203504, 42.56526 -0.1203443, 42.56737 -0.1184011, 42.56712 -0.1184583))",1458.332915,0.145833291,Ahmed Ibrahim
