Uploaded Date,Date Collected,Engagement Date,Data Collector,Project Name,Country Name,County Name,Subcounty Name,Engagement Venue,Engagement Type,Other Engagement Type,Policy Issue,Other Policy Issue,Total Participants,Key Participants,Male Participants,Female Participants,Youth Participants,Photo,Comment
2024-05-18 12:28:04,2024-05-18,2024-05-18,Lilian Kilori,UKPact_NbS,Kenya,Taita Taveta,Taveta,kimala social hall,WORKSHOP_PERSON,,NATIONAL_POLICY,,292,Area Chief Ass Chief And Local Leadera,139,153,72,https://radrs.icraf.org/uploaded/media/JPEG_e41b48b3-087d-4da6-b73f-3d4fda614fbd_6819559576679232706.jpg,the meeting was well organized 
2024-06-12 15:45:18,2024-06-12,2024-06-12,Opportuna Majala,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Njawuli Catholic church ,TRAINING - WORKSHOP_PERSON,,SCALING,,30,CFA County Government Of Taita Taveta,13,17,1,https://radrs.icraf.org/uploaded/media/JPEG_8983a9c7-e136-4009-9ba2-fafeb567c4af_7994083385734402299.jpg,participants embraced the GESI trainings
2024-06-12 14:39:40,2024-06-12,2024-06-12,Clemence Mnyika,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mwanda Kishamba ,TRAINING - WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,Gender and social inclusion mainstreaming in land restoration ,33,County Government Of Taita Taveta Vuria Community Forest CIFOR ICRAF ,12,14,7,https://radrs.icraf.org/uploaded/media/JPEG_beee2f7d-7a8d-464c-af6c-49af8e94a71c_6217233978426104422.jpg,"Female youth 2
Male youth 5"
2024-06-15 09:53:19,2024-06-15,2024-06-14,Clemence Mnyika,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mghange Nyika ,TRAINING - WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - LOCAL_GOVERNANCE,Gender and social inclusion mainstreaming in Vuria community forest association ,36,Vuria Community Forest Association County Government Of Taita Taveta National Government Of Kenya ICRAF,18,8,10,https://radrs.icraf.org/uploaded/media/JPEG_7c067f27-e5e6-48d8-917f-5c87e7ec963d_6989415622914267549.jpg,Great discussions during the engagements 
2024-06-19 14:17:58,2024-06-19,2024-06-19,Josephine Righa,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mgange Dawida VURIA CFA,TRAINING - WORKSHOP_PERSON,,SCALING,,33,Community Members ,16,17,2,https://radrs.icraf.org/uploaded/media/JPEG_5a666da2-2b97-4111-959a-5d192d508a69_2157288290308198068.jpg,Training turnup was good and every member was a good participant in every session we went through 
2024-06-19 21:48:01,2024-06-19,2024-06-19,Ernest Maghanga,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,mgange dawida,TRAINING - WORKSHOP_PERSON,,SCALING,,30,ICRAF CGTT MCA,16,14,6,https://radrs.icraf.org/uploaded/media/JPEG_93adcc54-126c-497b-ba24-de15142ccf71_7921594234143256407.jpg,At least there was gender equity in the house
2024-06-27 16:09:35,2024-06-25,2024-06-25,Eugene Mbogholi,UKPact_NbS,Kenya,Taita Taveta,Mwatate,ACK mazola Mwatate,WORKSHOP_PERSON,,SCALING,,34,CFA County Government Of Taita Taveta   ,15,16,3,https://radrs.icraf.org/uploaded/media/JPEG_66e9d115-7570-4064-8921-ed3ce57014c5_6602041179478165118.jpg,GESI training well conducted 
2024-06-26 15:40:28,2024-06-26,2024-06-26,Adelaida Manyata,UKPact_NbS,Kenya,Taita Taveta,Mwatate,Mwawache Primary ,WORKSHOP_PERSON - TRAINING,,SCALING,,30,CFA County Government of Taita Taveta ,15,14,1,https://radrs.icraf.org/uploaded/media/JPEG_fa041833-63cd-45b0-abc3-5cd43e18cbb1_3409270025859497933.jpg,no plwd
2024-06-27 16:09:38,2024-06-27,2024-06-27,Eugene Mbogholi,UKPact_NbS,Kenya,Taita Taveta,Mwatate,mwawache primary,WORKSHOP_PERSON - TRAINING,,SCALING,,32,Chawia CFA  Taita Taveta County Government  Interior ,16,15,1,https://radrs.icraf.org/uploaded/media/JPEG_f3a0dc31-b6b4-4a47-a235-d9e6349ce53b_8676955324231148927.jpg,2 day well organised educational training thanks to ICRAF for the impact to our future community 
2024-09-11 13:02:58,2024-08-12,2024-08-12,Mwadime Kishiki,UKPact_NbS,Kenya,Taita Taveta,Wundanyi,Mbaramghondi,FIELD_TRIP,Village Baraza,LOCAL_GOVERNANCE,,30,AWF,13,17,5,https://radrs.icraf.org/uploaded/media/JPEG_986db808-505a-4c3a-8358-5404f2094cf5_6403796989929570177.jpg,gender well represented
