,Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
0,Faidherbia albida,,,,FALSE,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
1,Ocotea usambarensis,mkongo,FIREWOOD SOIL_FERTILITY SHADE ,,FALSE,Kenya,mkongo,local_name (replaced NA),Kenya,Ocotea usambarensis Engl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Laurales,Lauraceae,Kuloa,Kuloa usambarensis,100,Ocotea usambarensis,Mkongo,Kenya,R,ocotea usambarensis,0,Accepted,scientific_name,mkongo,Mkongo,both,Ocotea usambarensis
2,Melia azedarach,mpenda bure,SHADE SOIL_FERTILITY CONSTRUCTION ,,FALSE,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
3,Grevillea robusta,gravellia,SHADE SOIL_FERTILITY CONSTRUCTION ,,FALSE,Kenya,gravellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,Gravellia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
4,Grevillea robusta,gravellia,SHADE SOIL_FERTILITY FIREWOOD CONSTRUCTION ,,FALSE,Kenya,gravellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,Gravellia,,J,grevillea robusta,0,Accepted,scientific_name,mugima,Mukima,both,Grevillea robusta
5,Casuarina equisetifolia,kashorina,SHADE SOIL_FERTILITY FIREWOOD CONSTRUCTION ,,FALSE,Kenya,kashorina,local_name (replaced NA),Kenya,Casuarina equisetifolia L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fagales,Casuarinaceae,Casuarina,Casuarina equisetifolia,99,Casuarina equisetifolia,Kasorina,Kenya,V,casuarina equisetifolia,0.025925925925925908,Accepted,scientific_name,kashorina,Kasorina,both,Casuarina equisetifolia
6,Pouteria adolfi-friederici,Munina,CONSTRUCTION FODDER FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,munina,local_name (replaced NA),Kenya,Pouteria adolfi-friederici (Engl.) Baehni,SPECIES,ACCEPTED,Plantae,Tracheophyta,Ericales,Sapotaceae,Pouteria,Pouteria adolfi-friederici,96,Pouteria adolfi-friederici,Muna,Kenya,R,pouteria adolfifriedericii,0.077777778,Accepted,scientific_name,munina,Muna,both,Pouteria adolfi-friederici
7,Acacia gerrardii,Muthi,SHADE CONSTRUCTION FODDER FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,muthi,local_name (replaced NA),Kenya,Acacia gerrardii Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia gerrardii,100,Acacia gerrardii,Muthi,Kenya,R,acacia gerrardii,0,Accepted,scientific_name,muthi,Muthi,both,Acacia gerrardii
8,Grevillea robusta,Nguluvelia,SHADE CONSTRUCTION FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
9,Lannea rivae,kyatha,SOIL_FERTILITY ,,FALSE,Kenya,lannea rivae,scientific_name,Kenya,Lannea rivae (Chiov.) Sacleux,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Lannea,Lannea rivae,100,Lannea rivae,,,,,,,,,,both,Lannea rivae
10,Diospyros ferrea,mulilu,CONSTRUCTION SOIL_FERTILITY SHADE FIREWOOD ,,FALSE,Kenya,diospyros ferrea,scientific_name,Kenya,Diospyros ferrea (Willd.) Bakh.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Ericales,Ebenaceae,Diospyros,Diospyros ferrea,100,Diospyros ferrea,,,,,,,,,,both,Diospyros ferrea
11,Acacia nilotica,kisemei,FODDER SHADE FIREWOOD ,,FALSE,Kenya,acacia nilotica,scientific_name,Kenya,Acacia nilotica (L.) Willd. ex Delile,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia nilotica,99,Acacia nilotica,,,,,,,,,,both,Acacia nilotica
12,Breonadia salicina,mdowe,FIREWOOD ,,FALSE,Kenya,mdowe,local_name (replaced NA),Kenya,Breonadia salicina (Vahl) Hepper & J.R.I.Wood,SPECIES,ACCEPTED,Plantae,Tracheophyta,Gentianales,Rubiaceae,Breonadia,Breonadia salicina,100,Breonadia salicina,mdogowe,Tanzania,R,breonadia salicina,0.066666667,Accepted,scientific_name,mdowe,mdogowe,both,Breonadia salicina
13,Millettia dura,mwaghani,CONSTRUCTION FIREWOOD ,poles,FALSE,Kenya,mwaghani,local_name (replaced NA),Kenya,Millettia dura Dunn,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Millettia,Millettia dura,100,Millettia dura,Mwanga,Kenya,R,millettia dura,0.097222222,Accepted,scientific_name,mwaghani,Mwanga,both,Millettia dura
14,Iti,iti ya wasi,SHADE FIREWOOD ,poles,FALSE,Kenya,iti ya wasi,local_name (replaced NA),Kenya,Iti Garn.-Jones & P.N.Johnson,GENUS,SYNONYM,Plantae,Tracheophyta,Brassicales,Brassicaceae,Cardamine,,96,Iti,,,,,,,,,,both,Iti
15,Tamarindus indica,mkwaju,FIREWOOD FRUITS SHADE ,,TRUE,Kenya,mkwaju,local_name (replaced NA),Kenya,Tamarindus indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Tamarindus,Tamarindus indica,100,Tamarindus indica,Mkwayu,Kenya,R,tamarindus indica,0.066666667,Accepted,scientific_name,mkwaju,Mkwayu,both,Tamarindus indica
16,Acacia tortilis,wapugha,SHADE FIREWOOD ,,FALSE,Kenya,acacia tortillis,scientific_name,Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,,,,,,,,,,both,Acacia tortilis
