Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
,,,,False
,mkongo,FIREWOOD SOIL_FERTILITY SHADE ,,False
,mpenda bure,SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,gravellia,SHADE SOIL_FERTILITY CONSTRUCTION ,,False
,gravellia,SHADE SOIL_FERTILITY FIREWOOD CONSTRUCTION ,,False
,kashorina,SHADE SOIL_FERTILITY FIREWOOD CONSTRUCTION ,,False
,Munina,CONSTRUCTION FODDER FIREWOOD SOIL_FERTILITY ,,False
,Muthi,SHADE CONSTRUCTION FODDER FIREWOOD SOIL_FERTILITY ,,False
Grevillea robusta,Nguluvelia,SHADE CONSTRUCTION FIREWOOD SOIL_FERTILITY ,,False
Lannea rivae,kyatha,SOIL_FERTILITY ,,False
Diospyros ferrea,mulilu,CONSTRUCTION SOIL_FERTILITY SHADE FIREWOOD ,,False
Acacia nilotica,kisemei,FODDER SHADE FIREWOOD ,,False
,mdowe,FIREWOOD ,,False
,mwaghani,CONSTRUCTION FIREWOOD ,poles,False
,iti ya wasi,SHADE FIREWOOD ,poles,False
,mkwaju,FIREWOOD FRUITS SHADE ,,True
Acacia tortillis,wapugha,SHADE FIREWOOD ,,False
Acacia mellifera,iti,SHADE FIREWOOD ,,False
,mjohoro,SHADE ,,False
,mjohoro,SHADE ,,False
,grivellia,SHADE SOIL_FERTILITY ,,False
,grivellia,SHADE SOIL_FERTILITY ,,False
,ashok,SHADE ,beautification,False
,grivellia,SHADE ,,False
,lemon tree,FRUITS SHADE ,,True
,mango tree,FRUITS SHADE ,,True
,Kiuku,FIREWOOD SHADE MEDICINAL CONSTRUCTION FODDER ,,False
,Kamulingula,FIREWOOD FODDER SOIL_FERTILITY ,Flowers for bee hive,False
,Kiusya,SOIL_FERTILITY ,Weaving for a construction house roofing tr sttrey,False
Acacia tortillis,Mwaa,FIREWOOD SHADE FODDER SOIL_FERTILITY ,,False
,Kilului,FIREWOOD SHADE FODDER FRUITS SOIL_FERTILITY ,,True
Adansonia digitata,Kiamba,SHADE FRUITS SOIL_FERTILITY ,Baobab seed weaving,True
Cordia sinensis,Muthiia,FIREWOOD FODDER CONSTRUCTION SOIL_FERTILITY ,Fencing,False
,Mutooo,FIREWOOD SHADE SOIL_FERTILITY ,Fencing Termites eat it,False
,Mwela ndathe,FIREWOOD MEDICINAL ,Fencing,False
,Kyooa,FIREWOOD CONSTRUCTION ,Fencing,False
,Kyusya,SHADE ,Weaving threads,False
,Muange,FIREWOOD SHADE FODDER CONSTRUCTION SOIL_FERTILITY ,,False
,Kyuasi,FIREWOOD CONSTRUCTION ,Beehive,False
,Mchrismas,SHADE ,,False
,Mbunga,SHADE FIREWOOD ,,False
,Mwarubaini,SHADE MEDICINAL FIREWOOD SOIL_FERTILITY ,,False
,Gravelia,FIREWOOD CONSTRUCTION ,,False
,Mjohoro,SHADE FIREWOOD SOIL_FERTILITY ,,False
,mukengeta,FODDER FIREWOOD MEDICINAL ,,False
,kitiithi,SHADE CONSTRUCTION FIREWOOD ,,False
,muvingo,OTHER SHADE CONSTRUCTION FIREWOOD ,wood curvings,False
,musemei,OTHER FODDER SHADE FIREWOOD MEDICINAL ,fencing,False
,muthaalwa,FIREWOOD MEDICINAL ,,False
,muthingii,FODDER CONSTRUCTION FIREWOOD ,,False
Terminalia brownii,muuku,SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,False
,kyuasi,OTHER FODDER SHADE FIREWOOD MEDICINAL ,for painting,False
,mututi,OTHER FODDER FIREWOOD MEDICINAL ,source of nector for bees,False
Acacia senegal,kingole,OTHER FODDER FIREWOOD MEDICINAL ,fencing,False
,itungati,CONSTRUCTION FIREWOOD MEDICINAL ,,False
,muvilisya,FODDER FIREWOOD MEDICINAL ,,False
,kiluli,FODDER SHADE CONSTRUCTION FIREWOOD ,,False
,mwela ndathe,SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,False
,mukenea,OTHER CONSTRUCTION MEDICINAL ,fencing,False
,muthiia,OTHER SHADE CONSTRUCTION FIREWOOD ,fencing,False
,munguuthe,FODDER SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,False
,mwaa,FODDER SHADE CONSTRUCTION FIREWOOD MEDICINAL ,,False
,kiulua,FODDER SHADE CONSTRUCTION FIREWOOD ,,False
,munina,FODDER CONSTRUCTION FIREWOOD MEDICINAL ,,False
,kiamba,FRUITS OTHER FODDER SHADE LEAF_VEGETABLES ,source of fibre,True
,Muuku,CONSTRUCTION MEDICINAL FIREWOOD ,,False
,orange tree,FRUITS SHADE ,,True
Combretum apiculatum,itithi,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,False
Combretum aculeatum,imuna,FODDER SHADE FIREWOOD ,,False
,musinziili,FIREWOOD ,,False
Terminalia brownii,muuku,CONSTRUCTION FODDER SOIL_FERTILITY MEDICINAL SHADE FIREWOOD ,,False
,itatha,FIREWOOD ,,False
Acacia tortillis,kimwaa,FODDER SHADE FIREWOOD ,,False
Combretum apiculatum,itithi,FODDER SOIL_FERTILITY FIREWOOD ,,False
Cassia sieberiana,kaluli,FIREWOOD ,,False
,kithulu,CONSTRUCTION SHADE FIREWOOD ,,False
senna siammea,mukyora,CONSTRUCTION SHADE FIREWOOD ,,False
,unknown,SHADE ,,False
,Mango Tree,SHADE ,,False
,Mjohoro,SHADE ,,False
,Muthingii,SHADE FIREWOOD CONSTRUCTION ,,False
