,Scientific name,Local name,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
0,Syzygium germainii,Musu,Kenya,syzygium germainii,scientific_name,Kenya,Syzygium germainii Amshoff,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium germainii,100,Syzygium germainii,,,,,,,,,,both,Syzygium germainii
1,Prunus africana,Mngima,Kenya,prunus africana,scientific_name,Kenya,Prunus africana (Hook.fil.) Kalkman,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus africana,100,Prunus africana,,,,,,,,,,both,Prunus africana
2,Syzygium germainii,MUSU,Kenya,syzygium germainii,scientific_name,Kenya,Syzygium germainii Amshoff,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium germainii,100,Syzygium germainii,,,,,,,,,,both,Syzygium germainii
3,Syzygium cordatum,Musu,Kenya,musu,local_name (replaced NA),Kenya,Syzygium cordatum Hochst.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cordatum,99,Syzygium cordatum,Musu,Kenya,R,syzygium cordatum,0,Accepted,scientific_name,musu,Musu,both,Syzygium cordatum
4,Grevillea robusta,Gravelia ,Kenya,gravelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gravelia,,J,grevillea robusta,0,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
5,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
6,Persea americana,Avocado ,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
7,Melia azedarach,Mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
8,Grevillea robusta,Gravelia ,Kenya,gravelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gravelia,,J,grevillea robusta,0,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
9,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
