Scientific name,Local name,country
Syzygium germainii,Musu,Kenya
Prunus africana,Mngima,Kenya
Syzygium germainii,MUSU,Kenya
,Musu,Kenya
,Gravelia ,Kenya
,Mjohoro,Kenya
,Avocado ,Kenya
,Mpenda bure,Kenya
,Gravelia ,Kenya
,Mjohoro,Kenya
,Avocado ,Kenya
,Mpenda bure,Kenya
,Gravelia ,Kenya
,Mjohoro,Kenya
,Gravelia ,Kenya
,Mpenda bure,Kenya
,Avocado ,Kenya
,Mjohoro,Kenya
,Gravelia ,Kenya
,Avocado ,Kenya
,Mpenda bure,Kenya
,Mjohoro,Kenya
,Avocado ,Kenya
,Mpenda bure,Kenya
,Mgunga,Kenya
,Mtendabure,Kenya
,Mrismas ,Kenya
,Mjohoro,Kenya
,Ashok,Kenya
,croton,Kenya
,Passion,Kenya
,,Kenya
,,Kenya
,Mjohoro,Kenya
,Msoda,Kenya
,Avacado,Kenya
,Mkrismas,Kenya
,Wild apple,Kenya
,Mpenda bure,Kenya
,Mkrismas,Kenya
,bamboo,Kenya
,Ovacado,Kenya
,Kirumbutu,Kenya
,,Kenya
,Avocado,Kenya
,Ash oak,Kenya
,Mangoes,Kenya
,Mpenda bure,Kenya
,Passion ,Kenya
,Kayaba,Kenya
,Mjohoro,Kenya
,Grivellia,Kenya
,Bongavilla,Kenya
,mrangi,Kenya
,mlevulia,Kenya
,mpapai,Kenya
,mu embe,Kenya
,ongolua yellow ,Kenya
,mngima,Kenya
,ovacado,Kenya
,croton,Kenya
,mndemu,Kenya
,Ndido,Kenya
,mwavwa,Kenya
,mlevilia,Kenya
,mugrevlilia,Kenya
,mulungu,Kenya
,,Kenya
,muovacado,Kenya
,mkuyu,Kenya
,mmosi,Kenya
,msuruwache,Kenya
,,Kenya
,mkuyu,Kenya
,mngima,Kenya
,mnyadi,Kenya
,chamsidu,Kenya
,mnyadi,Kenya
,msumbesu,Kenya
,rosemary ,Kenya
,mzambalanga,Kenya
,mnyadi,Kenya
,mgrevulia,Kenya
,mpapai ,Kenya
,mngima ,Kenya
,mmbuchi,Kenya
,mzizi,Kenya
,mora,Kenya
,Mwindi Nguku,Kenya
,Grevillia,Kenya
,Ovacado,Kenya
,Mkongo,Kenya
,Ongolua,Kenya
,Msumbesu,Kenya
,italian syprus,Kenya
,neem tree,Kenya
,mjohoro,Kenya
,grevillia,Kenya
,Alcaria,Kenya
,mkuyu,Kenya
,traveller,Kenya
,citrus,Kenya
,mtomoko,Kenya
,bamba coffee,Kenya
,cadlenut,Kenya
,grevilia,Kenya
,Wissle Tree,Kenya
,mughunga,Kenya
,mkigara ,Kenya
,msumbesu,Kenya
,mkuu,Kenya
,mkungu ,Kenya
,Amarula,Kenya
,mshagowe,Kenya
,mkwachu,Kenya
,mkungu ,Kenya
Acacia polyacantha,Museewa,Kenya
Olea africana,,Kenya
citrus aurantifolia,"mutomo
mutimo",Kenya
Cordia africana,Muatine,Kenya
Senna seamea,muchora,Kenya
bamboo,bamboo,Kenya
Acacia tortillis,Mwaa,Kenya
delonix regea,kilisimas tree,Kenya
Acacia elatior,mwinjwa,Kenya
Acacia elatior,mwinjwa,Kenya
Acacia elatior,mwinjwa,Kenya
Croton megalocarpus,mkigara,Kenya
senna siamea,mlezeni,Kenya
delonix regia,mkirismasi,Kenya
Tamarindus indica,mkwachu,Kenya
Moringa oleifera,mrongo,Kenya
Azadirachta indica,mwarubaini,Kenya
Acacia lahai,mzwaule,Kenya
senna siamea,mlezeni,Kenya
delonix regia,mkirismasi,Kenya
Tamarindus indica,mkwachu,Kenya
Moringa oleifera,mrongo,Kenya
Azadirachta indica,mwarubaini,Kenya
