Scientific name,Local name
Syzygium germainii,Musu
Prunus africana,Mngima
Syzygium cordatum,Musu
Grevillea robusta,Gravelia 
Senna siamea,Mjohoro
Persea americana,Avocado 
Melia azedarach,Mpenda bure
Vachellia,Mgunga
Delonix regia,Mrismas 
Monoon longifolium,Ashok
Croton megalocarpus,croton
Passiflora edulis,Passion
Faidherbia albida,
,Msoda
Dombeya rotundifolia,Wild apple
Oxytenanthera abyssinica,bamboo
Melia volkensii,Kirumbutu
Mangifera indica,Mangoes
Dovyalis caffra,Kayaba
Arundinaria alpina,mrangi
Carica papaya,mpapai
Entada abyssinica,mu embe
Cordia sinensis,mndemu
Cussonia arborea,mwavwa
Erythrina abyssinica,mulungu
Ficus sycomorus,mkuyu
Flacourtia indica,mmbuchi
Ziziphus mauritiana,mzizi
Ocotea usambarensis,Mkongo
Parinari curatellifolia,Ongolua
Azadirachta indica,neem tree
Citrus,citrus
Annona cherimola,mtomoko
Albizia versicolor,mughunga
Vitex mombassae,mkuu
Terminalia catappa,mkungu 
Tamarindus indica,mkwachu
Acacia polyacantha,Museewa
Olea africana,
Citrus aurantiifolia,"mutomo
mutimo"
Cordia africana,Muatine
Acacia tortilis,Mwaa
Acacia elatior,mwinjwa
Moringa oleifera,mrongo
Acacia lahai,mzwaule
Lannea triphylla,mumbe
Annona muricata,Matomoko
Berchemia discolor,Makundi
Croton,Croton ilaa
Citrus limon,Itimo
Eucalyptus camaldulensis,eucalyptus
Citrus reticulata,pixie
Eucalyptus,eucalyptus
Casuarina equisetifolia,
Balanites aegyptiaca,
Citrus paradisi,
Psidium guajava,Guavas
Elaeis guineensis,Palm
Punica granatum,Pomegranate
Umbrella,Umbrella tree
Cupressus,Cyprus
Leucaena,lucena
Osyris lanceolata,muchora
Sterculia appendiculata,Mfuranje
Senna spectabilis,Cassia
Trichilia emetica,Trichillia
Gmelina arborea,Whiteoak
Syzygium cumini,Mzambarao
Anacardium occidentale,Korosho
Casearia battiscombei,Mkungo
Trichilia roka,Trichilia rok
Melia,Melia borea
Baobab,Baobab tree
? japonica,Japonica
Aleurites moluccanus,Candlenut
Calophyllum inophyllum,Tamanu
Euclea divinorum,mkode
Iti,iti ya wasi
Citrus sinensis,orange pixes
Dendrocalamus giganteus,giant Bamboo
Lannea schweinfurthii,mumbaaume
Annona squamosa,matomoko
Terminalia mantaly,umbrella
Cassia sieberiana,
Pinus patula,
Cupressus lusitanica,cypress
Pouteria adolfi-friederici,Munina
Kigelia africana,"Mungu
Mukungu"
Senna singueana,Muchola
Acacia mellifera,Muthiia
Acacia laeta,Munina
Tamarix nilotica,Tamarindus
Markhamia lutea,makamia
Buddleja polystachya,Pine
Afrocarpus falcatus,Podo
Myrianthus holstii,Mzambangala
Ficus sur,mvumu
Afrocarpus usambarensis,
Jacaranda mimosifolia,Jacaranda
Eucalyptus saligna,
Physalis peruviana,yellow barks
Gliricidia sepium,glecidia
Adansonia digitata,Mbuyu
Olea europaea,Muthata
Terminalia brownii,Muuku
Scutia myrtina,Kiumbu
Leucaena leucocephala,Lucina
Acacia gerrardii,
Cassia arereh,mwela ndathe
Calliandra,kalila
Ensete ventricosum,Wild bananas
Coffea arabica,Kahawa
Canarium schweinfurthii,Mwafu
Acacia hockii,Mnyanga
Casimiroa edulis,White Supporter
Albizia gummifera,musuwachi
Commiphora africana,camphor tree
Eriobotrya japonica,Kitundu
Malus domestica,Apple
Juniperus procera,Mutalakwe
Albizia anthelmintica,porozi
Spathodea campanulata,nandi frame
Brachystegia spiciformis,mkweo
Podocarpus latifolius,muselele
Ficus thonningii,mukuu
Maesa borjacana,ndido
Musa sapientum,maiu
Phoenix dactylifera,Ndende
Boswellia neglecta,mtughu
Maesa lanceolata,Ndido
Prosopis africana,mngima
Macadamia tetraphylla,makadamia
Vitex keniensis,Meru oak
Thunbergia usambarica,isavi
Pseudocedrela kotschyi,Mavela
Dombeya torrida,Mukweu
Solanum betaceum,termarid
Maerua decumbens,mkulumba
Dobera glabra,mikau
Acacia,Acacia
Cascabela thevetia,kamuti ka iia
Erythrina melanacantha,kikweo
Memecylon klaineanum,Ndido
Eucalyptus globulus,bleu gum
Podocarpus henkelii,Podo
Gluema korupensis,Gravelia
Acacia abyssinica,Acacia
Syzygium guineense,muvengele
Manilkara sansibarensis,Mtunda tindi
