Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country
,mjohoro,1500,1500,SHADE ,,False,Kenya
,mjohoro,1500,1500,SHADE ,,False,Kenya
,mgelevia,5,2,FIREWOOD SOIL_FERTILITY SHADE CONSTRUCTION ,,False,Kenya
,Kisungwa,50,30,FRUITS SHADE ,,True,Kenya
Persea americana,Kivakato,10,2,FRUITS SHADE ,,True,Kenya
Asimina triloba,Kivavai,20,7,FRUITS ,,True,Kenya
Mangifera indica,Yiembe,300,240,FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Musu,20,20,OTHER ,harvest butterflies lavae,False,Kenya
,Msuruwache,9,9,OTHER ,none,False,Kenya
Croton megalocarpus,,30,9,SHADE FIREWOOD ,,False,Kenya
Croton megalocarpus,croton,2000,700,SHADE FIREWOOD ,,False,Kenya
Melia volkensii,,300,200,FIREWOOD CONSTRUCTION FODDER ,,False,Kenya
,Mlezen,100,40,SHADE ,,False,Kenya
Azadirachta indica,muarubaini,200,100,SHADE CONSTRUCTION FIREWOOD MEDICINAL FODDER ,,False,Kenya
Croton megalocarpus,muthuru,20,18,SHADE ,,False,Kenya
Combretum acutum,mutithi,100,86,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
melia volkensii,mukau,30,24,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,False,Kenya
Commiphora africana,itula,10,9,SHADE FIREWOOD ,,False,Kenya
senna siammea,musukulu,100,91,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
Lannea rivae,kyusya,10,6,SHADE ,,False,Kenya
Terminalia brownii,muuku,50,39,SHADE MEDICINAL FIREWOOD ,,False,Kenya
melia volkensii,mukau,30,24,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,False,Kenya
Combretum acutum,mutithi,100,86,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
Terminalia brownii,muuku,50,39,SHADE MEDICINAL FIREWOOD ,,False,Kenya
